segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
2.000000000000000000e+00,4.998137486156601361e-01,5.000000000000000000e-01,4.187500000000000111e-01,5.812500000000000444e-01,1.628622500432131801e+02,1.898637385087564553e+02,3.234380295608195297e+02
2.000000000000000000e+00,5.042822437021299287e-01,5.000000000000000000e-01,4.250000000000000444e-01,5.749999999999999556e-01,1.613250422905871346e+02,1.851529732618996604e+02,3.247951233274256424e+02
2.000000000000000000e+00,5.087507387885995547e-01,5.000000000000000000e-01,4.312500000000000222e-01,5.687499999999999778e-01,1.598931805839441438e+02,1.805908856631477022e+02,3.260552304804370465e+02
2.000000000000000000e+00,5.132192338750691807e-01,5.000000000000000000e-01,4.375000000000000000e-01,5.625000000000000000e-01,1.585709741759826557e+02,1.762182165123901143e+02,3.272153727825903502e+02
2.000000000000000000e+00,5.176877289615388067e-01,5.000000000000000000e-01,4.437499999999999778e-01,5.562500000000000222e-01,1.573623902134640673e+02,1.720773612316104959e+02,3.282728705590147911e+02
2.000000000000000000e+00,5.221562240480085437e-01,5.000000000000000000e-01,4.500000000000000111e-01,5.500000000000000444e-01,1.562710511393979118e+02,1.682118757294775548e+02,3.292253295786004514e+02
2.000000000000000000e+00,5.266247191344782808e-01,5.000000000000000000e-01,4.562500000000000444e-01,5.437499999999999556e-01,1.553002294791645852e+02,1.646657835407447692e+02,3.300706303795432177e+02
2.000000000000000000e+00,5.310932142209479068e-01,5.000000000000000000e-01,4.625000000000000222e-01,5.374999999999999778e-01,1.544528407902889455e+02,1.614826656226414343e+02,3.308069196158002683e+02
2.000000000000000000e+00,5.355617093074175328e-01,5.000000000000000000e-01,4.687500000000000000e-01,5.312500000000000000e-01,1.537314355016268621e+02,1.587045332556382675e+02,3.314326030824715303e+02
2.000000000000000000e+00,5.400302043938871588e-01,5.000000000000000000e-01,4.749999999999999778e-01,5.250000000000000222e-01,1.531381903143210650e+02,1.563705125926746859e+02,3.319463401450823312e+02
2.000000000000000000e+00,5.444986994803568958e-01,5.000000000000000000e-01,4.812500000000000111e-01,5.187500000000000444e-01,1.526748997787874771e+02,1.545154045025393543e+02,3.323470393533365836e+02
2.000000000000000000e+00,5.489671945668266329e-01,5.000000000000000000e-01,4.875000000000000444e-01,5.124999999999999556e-01,1.523429685954189665e+02,1.531682201037959032e+02,3.326338550665953449e+02
2.000000000000000000e+00,5.534356896532962589e-01,5.000000000000000000e-01,4.937500000000000222e-01,5.062499999999999778e-01,1.521434051092939228e+02,1.523508222588125136e+02,3.328061849581068259e+02
2.000000000000000000e+00,5.579041847397658849e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.520768163801849369e+02,1.520768163801849937e+02,3.328636682995418710e+02
3.000000000000000000e+00,5.579041847397658849e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.520768163801849369e+02,1.520768163801849937e+02,3.328636682995418710e+02
3.000000000000000000e+00,5.633769511797581675e-01,4.874999999999999889e-01,4.874999999999999889e-01,4.874999999999999889e-01,1.519595706661296219e+02,1.519595706661296788e+02,3.326070424745029754e+02
3.000000000000000000e+00,5.688497176197504501e-01,4.749999999999999778e-01,4.749999999999999778e-01,4.749999999999999778e-01,1.516080143083564735e+02,1.516080143083565588e+02,3.318375606978076462e+02
3.000000000000000000e+00,5.743224840597427328e-01,4.625000000000000222e-01,4.625000000000000222e-01,4.625000000000000222e-01,1.510226893812878757e+02,1.510226893812879894e+02,3.305564094545824219e+02
3.000000000000000000e+00,5.797952504997350154e-01,4.500000000000000111e-01,4.500000000000000111e-01,4.500000000000000111e-01,1.502044984135364132e+02,1.502044984135364132e+02,3.287655641871849070e+02
3.000000000000000000e+00,5.852680169397272980e-01,4.375000000000000000e-01,4.375000000000000000e-01,4.375000000000000000e-01,1.491547029962703164e+02,1.491547029962703732e+02,3.264677862492141003e+02
3.000000000000000000e+00,5.907407833797195806e-01,4.249999999999999889e-01,4.249999999999999889e-01,4.249999999999999889e-01,1.478749218379325328e+02,1.478749218379325612e+02,3.236666186477041833e+02
3.000000000000000000e+00,5.962135498197118633e-01,4.124999999999999778e-01,4.124999999999999778e-01,4.124999999999999778e-01,1.463671282683088180e+02,1.463671282683089032e+02,3.203663805800640034e+02
3.000000000000000000e+00,6.016863162597041459e-01,4.000000000000000222e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.446336471957964136e+02,1.446336471957965273e+02,3.165721607741878074e+02
3.000000000000000000e+00,6.071590826996964285e-01,3.875000000000000111e-01,3.875000000000000111e-01,3.875000000000000111e-01,1.426771515225640599e+02,1.426771515225640883e+02,3.122898096420058778e+02
3.000000000000000000e+00,6.126318491396887111e-01,3.750000000000000000e-01,3.750000000000000000e-01,3.750000000000000000e-01,1.405006580231300291e+02,1.405006580231301712e+02,3.075259302585727141e+02
3.000000000000000000e+00,6.181046155796809938e-01,3.624999999999999889e-01,3.624999999999999889e-01,3.624999999999999889e-01,1.381075226927152073e+02,1.381075226927153210e+02,3.022878681806049599e+02
3.000000000000000000e+00,6.235773820196732764e-01,3.499999999999999778e-01,3.499999999999999778e-01,3.499999999999999778e-01,1.355014355725412258e+02,1.355014355725412827e+02,2.965837001201646785e+02
3.000000000000000000e+00,6.290501484596655590e-01,3.375000000000000222e-01,3.375000000000000222e-01,3.375000000000000222e-01,1.326864150600542587e+02,1.326864150600544008e+02,2.904222214909542572e+02
