q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
6,3,0.05,12,0.1875,8.563334445268287,0.1936,35.97
7,1,0.005,3,0.046875,6.357085070997231,0.2664,25.89
7,2,0.005,3,0.046875,6.357085070997231,0.2974,28.9
7,3,0.005,3,0.046875,9.84143124638703,0.085,19.79
7,1,0.01,3,0.046875,6.357085070997231,0.1528,15.48
7,2,0.01,3,0.046875,6.357085070997231,0.1643,16.64
7,3,0.01,3,0.046875,9.84143124638703,0.1388,33.7
7,1,0.015,3,0.046875,6.357085070997231,0.1328,13.56
7,2,0.015,3,0.046875,6.357085070997231,0.1403,14.34
7,3,0.015,3,0.046875,9.84143124638703,0.1334,32.67
7,1,0.02,3,0.046875,6.357085070997231,0.123,12.56
7,2,0.02,3,0.046875,6.357085070997231,0.129,13.17
7,3,0.02,3,0.046875,9.84143124638703,0.1385,33.9
7,1,0.025,3,0.046875,6.357085070997231,0.1158,11.82
7,2,0.025,3,0.046875,6.357085070997231,0.121,12.35
7,3,0.025,3,0.046875,9.84143124638703,0.1412,34.53
7,1,0.03,3,0.046875,6.357085070997231,0.1115,11.37
7,2,0.03,3,0.046875,6.357085070997231,0.1159,11.82
7,3,0.03,3,0.046875,9.84143124638703,0.1417,34.64
7,1,0.035,3,0.046875,6.357085070997231,0.1092,11.15
7,2,0.035,3,0.046875,6.357085070997231,0.1129,11.53
7,3,0.035,3,0.046875,9.84143124638703,0.1417,34.67
7,1,0.04,3,0.046875,6.357085070997231,0.1079,11.03
7,2,0.04,3,0.046875,6.357085070997231,0.1111,11.36
7,3,0.04,3,0.046875,9.84143124638703,0.1419,34.77
7,1,0.045,3,0.046875,6.357085070997231,0.107,10.94
7,2,0.045,3,0.046875,6.357085070997231,0.1097,11.22
7,3,0.045,3,0.046875,9.84143124638703,0.1425,34.94
7,1,0.05,3,0.046875,6.357085070997231,0.1062,10.87
7,2,0.05,3,0.046875,6.357085070997231,0.1085,11.11
7,3,0.05,3,0.046875,9.84143124638703,0.1433,35.17
8,1,0.005,6,0.09375,6.886192340232202,0.0795,9.06
8,2,0.005,6,0.09375,8.438232462854982,0.241,41.27
8,3,0.005,6,0.09375,8.438232462854982,0.241,41.27
8,1,0.01,6,0.09375,6.886192340232202,0.0793,9.43
8,2,0.01,6,0.09375,8.438232462854982,0.2121,37.85
8,3,0.01,6,0.09375,8.438232462854982,0.2121,37.85
8,1,0.015,6,0.09375,6.886192340232202,0.0799,9.57
8,2,0.015,6,0.09375,8.438232462854982,0.2051,36.92
8,3,0.015,6,0.09375,8.438232462854982,0.2051,36.92
8,1,0.02,6,0.09375,6.886192340232202,0.0811,9.71
8,2,0.02,6,0.09375,8.438232462854982,0.1976,35.56
8,3,0.02,6,0.09375,8.438232462854982,0.1976,35.56
8,1,0.025,6,0.09375,6.886192340232202,0.0807,9.66
8,2,0.025,6,0.09375,8.438232462854982,0.1887,33.93
8,3,0.025,6,0.09375,8.438232462854982,0.1887,33.92
8,1,0.03,6,0.09375,6.886192340232202,0.0797,9.54
8,2,0.03,6,0.09375,8.438232462854982,0.1815,32.62
8,3,0.03,6,0.09375,8.438232462854982,0.1814,32.62
8,1,0.035,6,0.09375,6.886192340232202,0.0786,9.42
8,2,0.035,6,0.09375,8.438232462854982,0.1763,31.71
8,3,0.035,6,0.09375,8.438232462854982,0.1763,31.71
8,1,0.04,6,0.09375,6.886192340232202,0.0778,9.34
8,2,0.04,6,0.09375,8.438232462854982,0.1727,31.1
8,3,0.04,6,0.09375,8.438232462854982,0.1727,31.1
8,1,0.045,6,0.09375,6.886192340232202,0.0773,9.28
8,2,0.045,6,0.09375,8.438232462854982,0.1703,30.69
8,3,0.045,6,0.09375,8.438232462854982,0.1703,30.69
8,1,0.05,6,0.09375,6.886192340232202,0.077,9.24
8,2,0.05,6,0.09375,8.438232462854982,0.1685,30.39
8,3,0.05,6,0.09375,8.438232462854982,0.1684,30.39
