k_index,distance_inv_angstrom,band,QE_eV,Wannier_eV,error_eV
34,1.310298,3,13.858319795405666,14.394537,0.5362172045943332
34,1.310298,4,14.414656461845686,14.405996,-0.00866046184568603
35,1.350004,1,3.4928135451978672,4.2800129,0.7871993548021328
35,1.350004,2,8.979641896487852,8.1063763,-0.8732655964878511
35,1.350004,3,13.782315182829203,14.341511,0.5591958171707976
35,1.350004,4,14.352298410473,14.362876,0.010577589526999276
36,1.38971,1,3.86641560269645,4.5487382,0.6823225973035498
36,1.38971,2,8.499355285995078,7.748403,-0.7509522859950781
36,1.38971,3,13.717981966812388,14.289544,0.571562033187611
36,1.38971,4,14.29955486207341,14.333337,0.033782137926589684
37,1.429416,1,4.242756767992318,4.7936789,0.550922132007682
37,1.429416,2,8.035757672370544,7.435393,-0.6003646723705431
37,1.429416,3,13.665331251504021,14.247304,0.5819727484959785
37,1.429416,4,14.256415526570603,14.307622,0.05120647342939755
38,1.469122,1,4.615551866111625,5.0116616,0.396109733888375
38,1.469122,2,7.59511624535606,7.1679672,-0.42714904535606024
38,1.469122,3,13.624371855038499,14.214851,0.5904791449615008
38,1.469122,4,14.222871810705346,14.284802,0.06193018929465488
39,1.508828,1,4.969762688705813,5.1955501,0.22578741129418756
39,1.508828,2,7.19245485708025,6.9510385,-0.2414163570802499
39,1.508828,3,13.595110474776577,14.191569,0.5964585252234222
39,1.508828,4,14.198916927633546,14.26483,0.06591307236645427
40,1.548534,1,5.263933041367965,5.3304802,0.06654715863203542
40,1.548534,2,6.869268814357799,6.7977596,-0.07150921435779889
40,1.548534,3,13.577555480706414,14.175914,0.598358519293587
40,1.548534,4,14.184550132450957,14.248785,0.06423486754904317
41,1.58824,1,5.39296746042993,5.3929675,3.957006988741796e-08
41,1.58824,2,6.730545926563563,6.7305459,-2.656356290486883e-08
41,1.58824,3,13.571702266859406,14.164895,0.5931927331405937
41,1.58824,4,14.179760153968836,14.239401,0.05964084603116504
42,1.627946,1,5.398182308330326,5.3959687,-0.0022136083303259113
42,1.627946,2,6.736226507332508,6.7485016,0.01227509266749216
42,1.627946,3,13.35554223178421,14.113956,0.7584137682157905
42,1.627946,4,14.136721129383897,14.229582,0.0928608706161036
43,1.667652,1,5.413825570079955,5.3970467,-0.016778870079955155
43,1.667652,2,6.75322928529212,6.7620493,0.008820014707880297
43,1.667652,3,12.98777582736684,14.022478,1.0347021726331587
43,1.667652,4,14.014240608244672,14.174917,0.1606763917553291
44,1.707358,1,5.439903468323263,5.3971433,-0.04276016832326324
44,1.707358,2,6.781574533738007,6.7717817,-0.009792833738006657
44,1.707358,3,12.603379164583021,13.887902,1.284522835416979
44,1.707358,4,13.828326416006016,14.079854,0.25152758399398323
45,1.7470641,1,5.476412413560069,5.3977952,-0.07861721356006868
45,1.7470641,2,6.821139361843482,6.7791612,-0.04197816184348202
45,1.7470641,3,12.22186638345807,13.708036,1.4861696165419307
45,1.7470641,4,13.597010457213207,13.949294,0.3522835427867932
46,1.7867701,1,5.523367884816739,5.4010671,-0.12230078481673967
46,1.7867701,2,6.871911687919322,6.7864186,-0.08549308791932209
46,1.7867701,3,11.847977093385321,13.482241,1.6342639066146791
46,1.7867701,4,13.33566229617984,13.787417,0.4517547038201588
47,1.8264761,1,5.580771146565098,5.409461,-0.1713101465650979
47,1.8264761,2,6.933737628220332,6.796412,-0.13732562822033145
47,1.8264761,3,11.483366370663328,13.211932,1.7285656293366713
47,1.8264761,4,13.055751454301092,13.59718,0.5414285456989081
48,1.8661821,1,5.64863006035112,5.4258045,-0.22282556035112044
48,1.8661821,2,7.006460794724115,6.8124579,-0.19400289472411458
48,1.8661821,3,11.128754836949991,12.90023,1.7714751630500096
48,1.8661821,4,12.765419985673073,13.380676,0.6152560143269259
49,1.9058881,1,5.726954397504688,5.4531223,-0.2738320975046875
49,1.9058881,2,7.089903240952019,6.8381507,-0.25175254095201893
49,1.9058881,3,10.784498752196015,12.551399,1.766900247803985
49,1.9058881,4,12.470450352324507,13.139684,0.6692336476754939
50,1.9455941,1,5.815753449944543,5.4944979,-0.3212555499445431
50,1.9455941,2,7.183737207921447,6.8771771,-0.30656010792144706
50,1.9455941,3,10.450788865414534,12.170434,1.7196451345854662
50,1.9455941,4,12.174848105309792,12.87606,0.7012118946902088
51,1.9853001,1,5.915039533775608,5.5529345,-0.36210503377560777
51,1.9853001,2,7.2876138892722775,6.9331316,-0.3544822892722772
51,1.9853001,3,10.127724712994986,11.76282,1.6350952870050133
51,1.9853001,4,11.881723433426924,12.591938,0.710214566573077
52,2.0250061,1,6.0248261394648,5.6312239,-0.39360223946479955
52,2.0250061,2,7.401112780683156,7.009329,-0.39178378068315567
52,2.0250061,3,9.815380760407573,11.334372,1.5189912395924274
52,2.0250061,4,11.593554964921221,12.289839,0.6962840350787793
53,2.0647121,1,6.145126273003396,5.7318353,-0.413290973003396
53,2.0647121,2,7.523508317292761,7.1086036,-0.41490471729276024
53,2.0647121,3,9.51378235677193,10.8911,1.3773176432280696
53,2.0647121,4,11.31238485713938,11.972746,0.6603611428606211
54,2.1044181,1,6.275955206435548,5.85683,-0.41912520643554796
54,2.1044181,2,7.653809211402673,7.233071,-0.4207382114026732
54,2.1044181,3,9.22294477344489,10.439088,1.2161432265551095
54,2.1044181,4,11.040162260865547,11.644202,0.6040397391344534
55,2.1441241,1,6.4173290931432945,6.0078088,-0.4095202931432942
