omega_meV,alpha2F,native_cumulative_lambda
37.6999727,0.3994796,0.2975751
37.7903803,0.3930235,0.2994556
37.8807879,0.3949476,0.3013408
37.9711955,0.405654,0.3032725
38.0616031,0.4238343,0.3052859
38.1520107,0.4467715,0.3074034
38.2424183,0.4709696,0.3096302
38.3328259,0.4928458,0.3119549
38.4232335,0.5092561,0.3143514
38.5136412,0.517771,0.3167823
38.6040488,0.5167746,0.3192027
38.6944564,0.5055336,0.321565
38.784864,0.4843266,0.323823
38.8752716,0.4545902,0.3259374
38.9656792,0.4189309,0.3278813
39.0560868,0.3808568,0.3296446
39.1464944,0.3442067,0.3312344
39.236902,0.312414,0.3326741
39.3273096,0.2878391,0.3339975
39.4177172,0.2713771,0.3352424
39.5081248,0.262428,0.3364434
39.5985325,0.2591858,0.3376269
39.6889401,0.2591239,0.3388074
39.7793477,0.2595493,0.3399872
39.8697553,0.2581232,0.3411578
39.9601629,0.2532661,0.3423038
40.0505705,0.2443726,0.3434071
40.1409781,0.2317729,0.3444511
40.2313857,0.2164402,0.3454239
40.3217933,0.1995332,0.3463187
40.4122009,0.1819517,0.3471328
40.5026085,0.1640888,0.3478653
40.5930161,0.1458789,0.3485151
40.6834238,0.1270897,0.3490799
40.7738314,0.1076823,0.3495575
40.864239,0.0880443,0.349947
40.9546466,0.0689809,0.3502516
41.0450542,0.0514914,0.3504784
41.1354618,0.0364606,0.3506387
41.2258694,0.0244135,0.3507458
41.316277,0.0154249,0.3508133
41.4066846,0.0091836,0.3508534
41.4970922,0.0051484,0.3508758
41.5874998,0.0027171,0.3508876
41.6779074,0.0013501,0.3508935
41.7683151,0.000632,0.3508962
41.8587227,0.000279,0.3508974
41.9491303,0.0001163,0.3508979
42.0395379,4.59e-05,0.3508981
42.1299455,1.71e-05,0.3508982
42.2203531,6.1e-06,0.3508982
42.3107607,2.1e-06,0.3508982
42.4011683,7e-07,0.3508982
42.4915759,2e-07,0.3508982
42.5819835,1e-07,0.3508982
42.6723911,0.0,0.3508982
42.7627987,0.0,0.3508982
42.8532064,0.0,0.3508982
42.943614,0.0,0.3508982
43.0340216,0.0,0.3508982
43.1244292,0.0,0.3508982
43.2148368,0.0,0.3508982
43.3052444,0.0,0.3508982
43.395652,0.0,0.3508982
43.4860596,0.0,0.3508982
43.5764672,0.0,0.3508982
43.6668748,0.0,0.3508982
43.7572824,0.0,0.3508982
43.84769,0.0,0.3508982
43.9380977,0.0,0.3508982
44.0285053,0.0,0.3508982
44.1189129,0.0,0.3508982
44.2093205,0.0,0.3508982
44.2997281,0.0,0.3508982
44.3901357,0.0,0.3508982
44.4805433,0.0,0.3508982
44.5709509,0.0,0.3508982
44.6613585,0.0,0.3508982
44.7517661,0.0,0.3508982
44.8421737,0.0,0.3508982
44.9325813,0.0,0.3508982
45.022989,0.0,0.3508982
45.1133966,0.0,0.3508982
45.2038042,0.0,0.3508982
