route,sigma_Ry,frequency_THz,a2F,cumulative_lambda
lambda.x,0.005,3.6278,0.1087,0.009161762781941453
lambda.x,0.005,3.6348,0.10491,0.009573542849644652
lambda.x,0.005,3.6418,0.10056,0.009968870509149921
lambda.x,0.005,3.6488,0.09573,0.010345811701659869
lambda.x,0.005,3.6558,0.09052,0.010702788441393257
lambda.x,0.005,3.6628,0.08501,0.011038576164463252
lambda.x,0.005,3.6698,0.0793,0.011352300956550198
lambda.x,0.005,3.6768,0.07347,0.011643436952944881
lambda.x,0.005,3.6838,0.0676,0.011911765613684016
lambda.x,0.005,3.6908,0.06178,0.012157392355906385
lambda.x,0.005,3.6978,0.05608,0.012380725204357141
lambda.x,0.005,3.7049,0.05056,0.012585294425302276
lambda.x,0.005,3.7119,0.04527,0.012766193343056589
lambda.x,0.005,3.7189,0.04026,0.012927345188928236
lambda.x,0.005,3.7259,0.03556,0.013069933681187569
lambda.x,0.005,3.7329,0.0312,0.013195248491693274
lambda.x,0.005,3.7399,0.02718,0.013304628300655218
lambda.x,0.005,3.7469,0.02353,0.013399460324762073
lambda.x,0.005,3.7539,0.02022,0.013481124117895286
lambda.x,0.005,3.7609,0.01726,0.013550954194076295
lambda.x,0.005,3.7679,0.01464,0.013610277657285012
lambda.x,0.005,3.7749,0.01233,0.01366034001316685
lambda.x,0.005,3.7819,0.01031,0.013702287195607638
lambda.x,0.005,3.7889,0.00857,0.013737203287614358
lambda.x,0.005,3.7959,0.00707,0.013766074130270853
lambda.x,0.005,3.8029,0.00579,0.013789769537528158
lambda.x,0.005,3.8099,0.00472,0.013809099337153343
lambda.x,0.005,3.8169,0.00381,0.013824758826530949
lambda.x,0.005,3.8239,0.00306,0.013837347783203524
lambda.x,0.005,3.8309,0.00244,0.013847407876465276
lambda.x,0.005,3.8379,0.00193,0.013855386513057262
lambda.x,0.005,3.8449,0.00152,0.013861673969448783
lambda.x,0.005,3.8519,0.00119,0.013866603840711013
lambda.x,0.005,3.8589,0.00092,0.013870435279199664
lambda.x,0.005,3.8659,0.00071,0.013873389748297563
lambda.x,0.005,3.8729,0.00054,0.013875651360835484
lambda.x,0.005,3.8799,0.00041,0.013877367083428759
lambda.x,0.005,3.8869,0.00031,0.01387866507873826
lambda.x,0.005,3.8939,0.00023,0.013879636831479384
lambda.x,0.005,3.901,0.00017,0.013880365613216025
lambda.x,0.005,3.908,0.00013,0.013880903518883863
lambda.x,0.005,3.915,9e-05,0.013881297294104748
lambda.x,0.005,3.922,7e-05,0.01388158314990199
lambda.x,0.005,3.929,5e-05,0.013881797167350144
lambda.x,0.005,3.936,4e-05,0.013881957386752668
lambda.x,0.005,3.943,3e-05,0.013882081783903944
lambda.x,0.005,3.95,2e-05,0.013882170485881813
