grid,k_index,k1_index,k2_index,k3_index,k1_fraction,k2_fraction,k3_fraction,phase_rad,phase_per_area_A2
6,116,3,1,1,0.5,0.166666666667,0.166666666667,-2.24120823339079e-06,-2.1051476778381077e-05
6,117,3,1,2,0.5,0.166666666667,0.333333333333,2.2820442232027546e-06,2.1435045729467865e-05
6,118,3,1,3,0.5,0.166666666667,0.5,-1.2645396977321073e-06,-1.1877712961045861e-05
6,119,3,1,4,0.5,0.166666666667,0.666666666667,1.5827318234913291e-06,1.4866464316982894e-05
6,120,3,1,5,0.5,0.166666666667,0.833333333333,-1.3389996444956864e-08,-1.2577108856911132e-07
6,121,3,2,0,0.5,0.333333333333,0.0,-2.1269123928746742e-07,-1.9977905747968476e-06
6,122,3,2,1,0.5,0.333333333333,0.166666666667,-4.092991076065758e-07,-3.84451142505219e-06
6,123,3,2,2,0.5,0.333333333333,0.333333333333,1.813071055290932e-06,1.7030020972333616e-05
6,124,3,2,3,0.5,0.333333333333,0.5,9.240385499543963e-07,8.679414874031506e-06
6,125,3,2,4,0.5,0.333333333333,0.666666666667,3.0218539137650174e-07,2.8384014722737298e-06
6,126,3,2,5,0.5,0.333333333333,0.833333333333,1.0414701129279908e-07,9.782439476635028e-07
6,127,3,3,0,0.5,0.5,0.0,3.3420233209797734e-06,3.1391338513857e-05
6,128,3,3,1,0.5,0.5,0.166666666667,1.6473043904515439e-06,1.5472988902084396e-05
6,129,3,3,2,0.5,0.5,0.333333333333,-4.108859866791663e-07,-3.859416844124383e-06
6,130,3,3,3,0.5,0.5,0.5,1.5900550311982492e-06,1.4935250579093064e-05
6,131,3,3,4,0.5,0.5,0.666666666667,3.926759544424884e-06,3.688371572626331e-05
6,132,3,3,5,0.5,0.5,0.833333333333,-3.650690102116387e-06,-3.4290619124442745e-05
6,133,3,4,0,0.5,0.666666666667,0.0,-5.934145987929533e-07,-5.573892447977616e-06
6,134,3,4,1,0.5,0.666666666667,0.166666666667,7.239287153071323e-08,6.799800354309178e-07
6,135,3,4,2,0.5,0.666666666667,0.333333333333,5.8263868618624355e-08,5.472675224773502e-07
