grid,k_index,axis,neighbor_index,G1,G2,G3,min_singular,max_singular,abs_determinant
4,39,1,55,0,0,0,0.8116392663055548,0.9981082568564625,0.7975233488234689
4,40,2,44,0,0,0,0.8116365418999348,0.9981082460026551,0.7975205728242739
4,40,1,56,0,0,0,0.8116389422474609,0.998108274567273,0.7975228223060652
4,41,2,45,0,0,0,0.8176419152302526,0.998164446024526,0.7986905693149217
4,41,1,57,0,0,0,0.8176426240549816,0.9981644577423704,0.7986913814885298
4,42,2,46,0,0,0,0.8116381098420777,0.9981082565674716,0.7975221379547861
4,42,1,58,0,0,0,0.8116380924558735,0.9981082557288758,0.7975220996629416
4,43,2,47,0,0,0,0.7915581131277482,0.9976792710418241,0.6942277687357409
4,43,1,59,0,0,0,0.7915579521551738,0.9976792697664832,0.6942276481206455
4,44,2,48,0,0,0,0.7590165641595201,0.9983223754686372,0.6868685503972445
4,44,1,60,0,0,0,0.7590134924954183,0.9983223892792072,0.6868647861822704
4,45,1,61,0,0,0,0.8052171289983484,0.9983140371767694,0.7870072707074354
4,45,2,33,0,1,0,0.7915563349801908,0.9976792241443374,0.6942264671612333
4,46,1,62,0,0,0,0.8116355949377331,0.9981082536605222,0.7975196188346501
4,46,2,34,0,1,0,0.8116361253745217,0.9981082402685083,0.797520146915029
4,47,1,63,0,0,0,0.7590157531082602,0.9983223845895873,0.6868682174562538
4,47,2,35,0,1,0,0.8176404833885123,0.9981644142249628,0.798689032392106
4,48,1,64,0,0,0,0.8201458779240012,0.9980442732600416,0.6774211170455832
4,48,2,36,0,1,0,0.7590129704624575,0.9983223717245076,0.6868653551544166
4,49,2,53,0,0,0,0.8201448135719899,0.9980442921506377,0.6774204177695162
4,49,1,1,1,0,0,0.743585502587771,0.9980220855927304,0.5768445103517102
4,50,2,54,0,0,0,0.7590128009714994,0.998322375937424,0.6868650508667481
4,50,1,2,1,0,0,0.8201442302068286,0.9980442880190623,0.6774197051578024
4,51,2,55,0,0,0,0.8116368594230031,0.9981082451909647,0.7975208831110379
4,51,1,3,1,0,0,0.7915551529752203,0.9976792775199739,0.6942252277362868
4,52,2,56,0,0,0,0.8052189021741367,0.9983140192304852,0.7870090264527488
4,52,1,4,1,0,0,0.6668990978874064,0.9984306376683814,0.5783287293963538
4,53,2,57,0,0,0,0.9793301562984641,0.9975448357975917,0.9545068548881199
4,53,1,5,1,0,0,0.8201466934838508,0.9980442729999189,0.6774215005116582
4,54,2,58,0,0,0,0.8116367786197657,0.9981082553461782,0.7975207834338233
