x_A,z_A,delta_n_e_A3
1.1805555556,0.2083333333,-1.926785436617e-08
1.2500000000,0.2083333333,-2.901913811733e-08
1.3194444444,0.2083333333,-3.275692044517e-08
1.3888888889,0.2083333333,-2.978684525860e-08
1.4583333333,0.2083333333,-2.303745123512e-08
1.5277777778,0.2083333333,-1.727519116320e-08
1.5972222222,0.2083333333,-1.641259132090e-08
1.6666666667,0.2083333333,-2.160273193150e-08
1.7361111111,0.2083333333,-3.140531598650e-08
1.8055555556,0.2083333333,-4.312495413350e-08
1.8750000000,0.2083333333,-5.373275341990e-08
1.9444444444,0.2083333333,-6.066449760310e-08
2.0138888889,0.2083333333,-6.343437393990e-08
2.0833333333,0.2083333333,-6.463897512730e-08
2.1527777778,0.2083333333,-6.805988375800e-08
2.2222222222,0.2083333333,-7.524702361100e-08
2.2916666667,0.2083333333,-8.482904698800e-08
2.3611111111,0.2083333333,-9.510689764200e-08
2.4305555556,0.2083333333,-1.052157413690e-07
2.5000000000,0.2083333333,-1.125887749750e-07
2.5694444444,0.2083333333,-1.120132609923e-07
2.6388888889,0.2083333333,-1.013355819810e-07
2.7083333333,0.2083333333,-8.840861852260e-08
2.7777777778,0.2083333333,-8.837875955550e-08
2.8472222222,0.2083333333,-1.109130684009e-07
2.9166666667,0.2083333333,-1.510345338717e-07
2.9861111111,0.2083333333,-1.945408627080e-07
3.0555555556,0.2083333333,-2.314999598140e-07
3.1250000000,0.2083333333,-2.622643364490e-07
3.1944444444,0.2083333333,-2.914886865080e-07
3.2638888889,0.2083333333,-3.205452343760e-07
3.3333333333,0.2083333333,-3.476670340160e-07
3.4027777778,0.2083333333,-3.725402998800e-07
3.4722222222,0.2083333333,-3.972517756220e-07
