# z_A  planar_potential_eV
27.8125000000 5.029044907185
27.8750000000 5.029137292045
27.9375000000 5.029052597400
28.0000000000 5.029144778687
28.0625000000 5.029059994524
28.1250000000 5.029151961828
28.1875000000 5.029067065526
28.2500000000 5.029158815949
28.3125000000 5.029073807445
28.3750000000 5.029165333549
28.4375000000 5.029080186027
28.5000000000 5.029171516273
28.5625000000 5.029086190415
28.6250000000 5.029177298175
28.6875000000 5.029091771191
28.7500000000 5.029182638462
28.8125000000 5.029096870934
28.8750000000 5.029187475211
28.9375000000 5.029101457155
29.0000000000 5.029191840418
29.0625000000 5.029105583480
29.1250000000 5.029195744096
29.1875000000 5.029109222142
29.2500000000 5.029199168249
29.3125000000 5.029112364617
29.3750000000 5.029202076441
29.4375000000 5.029114961109
29.5000000000 5.029204463552
29.5625000000 5.029117051656
29.6250000000 5.029206320108
29.6875000000 5.029118559818
29.7500000000 5.029207609307
29.8125000000 4.935497034702
29.8750000000 4.667451607095
29.9375000000 4.263459466814
