case,z_A,potential_eV
k16-plus005,5.072812502869112,4.261960091436937
k16-plus005,5.145281252819382,4.26196507112062
k16-plus005,5.2177500027696535,4.261951669512894
k16-plus005,5.290218752719925,4.261948635443328
k16-plus005,5.362687503199374,4.261938961795517
k16-plus005,5.4351562531496445,4.261926267683833
k16-plus005,5.507625003099916,4.261919464837272
k16-plus005,5.580093753050187,4.261895478000295
k16-plus005,5.652562503000459,4.261889477889629
k16-plus005,5.72503125295073,4.261852402375868
k16-plus005,5.797500003430177,4.261843517858259
k16-plus005,5.869968753380449,4.2617908910372595
k16-plus005,5.94243750333072,4.261773475750062
k16-plus005,6.014906253280992,4.2617015832676
k16-plus005,6.087375003231263,4.261667174469692
k16-plus005,6.1598437531815335,4.261569852946783
k16-plus005,6.2323125036609826,4.26150619190866
k16-plus005,6.304781253611254,4.261376325567801
k16-plus005,6.377250003561525,4.261271167165654
k16-plus005,6.449718753511797,4.261089898516176
k16-plus005,6.522187503462067,4.260911663936265
k16-plus005,6.594656253412339,4.260650339388452
k16-plus005,6.667125003891787,4.260359993897207
k16-plus005,6.739593753842058,4.259974626245191
k16-plus005,6.81206250379233,4.259513583728025
k16-plus005,6.8845312537426,4.25893478393688
k16-plus005,6.957000003692872,4.258213709412748
k16-plus005,7.029468753643143,4.25733219655531
k16-plus005,7.101937504122592,4.256213577283816
k16-plus005,7.1744062540728635,4.254858477460152
k16-plus005,7.246875004023134,4.253129588429321
k16-plus005,7.319343753973405,4.251033672220802
k16-plus005,7.391812503923677,4.248362384855806
k16-plus005,7.464281253873948,4.245106501674394
k16-plus005,7.5367500043533955,4.240972262156348
k16-plus005,7.609218754303667,4.235899447503906
k16-plus005,7.681687504253938,4.229484635310276
k16-plus005,7.75415625420421,4.221561632033963
k16-plus005,7.826625004154481,4.2115748628019825
k16-plus005,7.899093754104752,4.19916890609288
k16-plus005,7.971562504584201,4.183563502617441
k16-plus005,8.044031254534472,4.164088449538118
k16-plus005,8.116500004484744,4.1396130865450065
k16-plus005,8.188968754435015,4.108953555068085
k16-plus005,8.261437504385285,4.070416708232358
k16-plus005,8.333906254335556,4.022000604351708
k16-plus005,8.406375004815006,3.9611048009052294
k16-plus005,8.478843754765276,3.8844358766041847
k16-plus005,8.551312504715549,3.7879274979449047
k16-plus005,8.623781254665818,3.6662616484734833
k16-plus005,8.69625000461609,3.5130465368290564
k16-plus005,8.768718754566361,3.319864592790289
k16-plus005,8.84118750504581,3.076760394642156
k16-plus005,8.91365625499608,2.7707079198171694
k16-plus005,8.986125004946352,2.3865301400878653
k16-plus005,9.058593754896624,1.9047005592492248
k16-plus005,9.131062504846895,1.303141654452745
k16-plus005,9.203531254797165,0.5545800791259561
k16-plus005,9.276000005276615,-0.3633886752024694
k16-plus005,9.348468755226884,-1.469291630520737
k16-plus005,9.420937505177157,-2.7729212259459524
k16-plus005,9.493406255127427,-4.247702821670283
k16-plus005,9.565875005077698,-5.837336440510187
k16-plus005,9.638343755557148,-7.4653359778631145
k16-plus005,9.710812505507418,-9.038130428975187
k16-plus005,9.783281255457691,-10.455430515519483
k16-plus005,9.85575000540796,-11.627710572661302
k16-plus005,9.928218755358232,-12.487422184456138
k16-plus005,10.000687505308504,-12.989087246790621
k16-plus005,10.073156255787952,-13.114317706226107
k16-plus005,10.145625005738223,-12.876076114771667
k16-plus005,10.218093755688495,-12.318366331662322
k16-plus005,10.290562505638764,-11.50914518853875
k16-plus005,10.363031255589037,-10.537564112040606
k16-plus005,10.435500005539307,-9.513284961527836
k16-plus005,10.507968756018755,-8.556500742979908
k16-plus005,10.580437505969028,-7.78139354878872
k16-plus005,10.652906255919298,-7.289199082900517
k16-plus005,10.725375005869571,-7.166555541926971
k16-plus005,10.79784375581984,-7.477600843534531
k16-plus005,10.870312505770112,-8.265098864904068
k16-plus005,10.94278125624956,-9.582224192240458
k16-plus005,11.015250006199832,-11.479404803266446
k16-plus005,11.087718756150103,-13.96379965995533
k16-plus005,11.160187506100375,-16.99146467288198
k16-plus005,11.232656256050644,-20.39622265459215
k16-plus005,11.305125006000917,-23.892479276302478
k16-plus005,11.377593756480366,-27.127701110645905
k16-plus005,11.450062506430637,-29.73320596981936
k16-plus005,11.522531256380908,-31.420470872383373
k16-plus005,11.595000006331178,-32.005511703809724
k16-plus005,11.667468756281451,-31.420470872383373
k16-plus005,11.73993750623172,-29.73320596981936
k16-plus005,11.81240625671117,-27.127701110645905
k16-plus005,11.88487500666144,-23.892479276302478
k16-plus005,11.957343756611712,-20.39622265459215
k16-plus005,12.029812506561983,-16.99146467288198
k16-plus005,12.102281256512255,-13.96379965995533
k16-plus005,12.174750006462526,-11.479404803266446
k16-plus005,12.247218756941974,-9.582224192240458
k16-plus005,12.319687506892246,-8.265098864904068
k16-plus005,12.392156256842517,-7.477600843534531
k16-plus005,12.464625006792788,-7.166555541926971
k16-plus005,12.53709375674306,-7.289199082900517
k16-plus005,12.60956250669333,-7.78139354878872
k16-plus005,12.682031257172778,-8.556500742979908
k16-plus005,12.75450000712305,-9.513284961527836
k16-plus005,12.82696875707332,-10.537564112040606
k16-plus005,12.899437507023594,-11.50914518853875
k16-plus005,12.971906256973863,-12.318366331662322
k16-plus005,13.044375006924135,-12.876076114771667
k16-plus005,13.116843757403585,-13.114317706226107
k16-plus005,13.189312507353854,-12.989087246790621
k16-plus005,13.261781257304127,-12.487422184456138
k16-plus005,13.334250007254397,-11.627710572661302
k16-plus005,13.406718757204667,-10.455430515519483
k16-plus005,13.47918750715494,-9.038130428975187
k16-plus005,13.551656257634388,-7.4653359778631145
k16-plus005,13.62412500758466,-5.837336440510187
k16-plus005,13.69659375753493,-4.247702821670283
k16-plus005,13.7690625074852,-2.7729212259459524
k16-plus005,13.841531257435474,-1.469291630520737
k16-plus005,13.914000007385743,-0.3633886752024694
k16-plus005,13.986468757865193,0.5545800791259561
k16-plus005,14.058937507815463,1.303141654452745
k16-plus005,14.131406257765734,1.9047005592492248
k16-plus005,14.203875007716006,2.3865301400878653
k16-plus005,14.276343757666277,2.7707079198171694
k16-plus005,14.348812507616548,3.076760394642156
k16-plus005,14.421281258095997,3.319864592790289
k16-plus005,14.493750008046268,3.5130465368290564
k16-plus005,14.56621875799654,3.6662616484734833
k16-plus005,14.63868750794681,3.7879274979449047
k16-plus005,14.711156257897082,3.8844358766041847
k16-plus005,14.78362500837653,3.9611048009052294
k16-plus005,14.8560937583268,4.022000604351708
k16-plus005,14.928562508277073,4.070416708232358
k16-plus005,15.001031258227343,4.108953555068085
k16-plus005,15.073500008177614,4.1396130865450065
k16-plus005,15.145968758127886,4.164088449538118
k16-plus005,15.218437508607334,4.183563502617441
k16-plus005,15.290906258557607,4.19916890609288
k16-plus005,15.363375008507877,4.2115748628019825
k16-plus005,15.435843758458148,4.221561632033963
k16-plus005,15.50831250840842,4.229484635310276
k16-plus005,15.58078125835869,4.235899447503906
k16-plus005,15.653250008838139,4.240972262156348
k16-plus005,15.72571875878841,4.245106501674394
k16-plus005,15.79818750873868,4.248362384855806
k16-plus005,15.870656258688953,4.251033672220802
k16-plus005,15.943125008639223,4.253129588429321
k16-plus005,16.015593758589496,4.254858477460152
k16-plus005,16.088062509068944,4.256213577283816
k16-plus005,16.160531259019216,4.25733219655531
k16-plus005,16.233000008969487,4.258213709412748
k16-plus005,16.30546875891976,4.25893478393688
k16-plus005,16.37793750887003,4.259513583728025
k16-plus005,16.4504062588203,4.259974626245191
k16-plus005,16.522875009299746,4.260359993897207
k16-plus005,16.59534375925002,4.260650339388452
k16-plus005,16.66781250920029,4.260911663936265
k16-plus005,16.740281259150564,4.261089898516176
k16-plus005,16.81275000910083,4.261271167165654
k16-plus005,16.885218759051103,4.261376325567801
k16-plus005,16.95768750953055,4.26150619190866
k16-plus005,17.030156259480822,4.261569852946783
k16-plus005,17.102625009431097,4.261667174469692
k16-plus005,17.175093759381365,4.2617015832676
k16-plus005,17.247562509331637,4.261773475750062
k16-plus005,17.320031259281908,4.2617908910372595
k16-plus005,17.392500009761356,4.261843517858259
k16-plus005,17.464968759711628,4.261852402375868
k16-plus005,17.5374375096619,4.261889477889629
k16-plus005,17.60990625961217,4.261895478000295
k16-plus005,17.682375009562442,4.261919464837272
k16-plus005,17.754843759512713,4.261926267683833
k16-plus005,17.82731250999216,4.261938961795517
k16-plus005,17.89978125994243,4.261948635443328
k16-plus005,17.972250009892704,4.261951669512894
k16-plus005,18.044718759842976,4.26196507112062
k16-plus005,18.117187509793247,4.261960091436937
k16-plus005,18.189656259743515,4.2619771801874995
k16-plus005,18.262125010222963,4.261965969096366
k16-plus005,18.334593760173238,4.261985969465257
k16-plus005,18.40706251012351,4.261970472580789
k16-plus005,18.47953126007378,4.261991942364538
k16-plus005,18.55200001002405,4.261973561073129
k16-plus005,18.624468759974324,4.261994962828411
k16-plus005,18.69693751045377,4.261976350240219
k16-plus005,18.769406260404043,4.261996337003416
k16-plus005,18.841875010354315,4.2619793162813195
k16-plus005,18.914343760304583,4.261996391426189
k16-plus005,18.986812510254854,4.26198254083059
k16-plus005,19.05928126020513,4.261995466239056
k16-plus005,19.131750010684577,4.261986010282336
k16-plus005,19.20421876063485,4.261993860767268
k16-plus005,19.276687510585116,4.2619895613682415
k16-plus005,19.349156260535388,4.261991887941765
k16-plus005,19.421625010485663,4.261993044425681
k16-plus005,19.494093760965107,4.261989833482104
k16-plus005,19.566562510915382,4.261996255369258
k16-plus005,19.63903126086565,4.2619879695021465
k16-plus005,19.71150001081592,4.261999003719269
