case,point,kind,offsetx_invA,offsety_invA,k1,k2,k3,valence_eV,conduction_eV,conduction_vac_eV
minus010,30,K-local,0.01,-0.02,0.33834814750335807,0.3220522768210484,0.0,-1.604408666176106,0.147819229401205,-4.170216684999894
minus010,31,K-local,0.01,-0.01,0.33834814750335807,0.3264391015346847,0.0,-1.6025794988402913,0.1454887247791434,-4.172547189621955
minus010,32,K-local,0.01,0,0.33834814750335807,0.3308259262483209,0.0,-1.601967756995689,0.14471104944221388,-4.173324864958885
minus010,33,K-local,0.01,0.01,0.33834814750335807,0.3352127509619572,0.0,-1.602579498110289,0.14548872579636737,-4.172547188604732
minus010,34,K-local,0.01,0.02,0.33834814750335807,0.33959957567559346,0.0,-1.6044086663220822,0.14781923268883845,-4.170216681712261
minus010,35,K-local,0.01,0.03,0.33834814750335807,0.34398640038922973,0.0,-1.60743746761103,0.1516841301045217,-4.166351784296578
minus010,36,K-local,0.02,-0.03,0.3433629616733828,0.3151580450223998,0.0,-1.6098949506959097,0.15519792964231083,-4.162837984758788
minus010,37,K-local,0.02,-0.02,0.3433629616733828,0.3195448697360361,0.0,-1.6069813867088607,0.15141136796448953,-4.166624546436609
minus010,38,K-local,0.02,-0.01,0.3433629616733828,0.32393169444967235,0.0,-1.6052241009862156,0.14912670693259858,-4.1689092074685
minus010,39,K-local,0.02,0,0.3433629616733828,0.32831851916330856,0.0,-1.6046368308339545,0.1483648799465952,-4.169671034454503
minus010,40,K-local,0.02,0.01,0.3433629616733828,0.33270534387694484,0.0,-1.605224098831014,0.14912670859078575,-4.168909205810313
minus010,41,K-local,0.02,0.02,0.3433629616733828,0.3370921685905811,0.0,-1.6069813876873615,0.15141136767835564,-4.166624546722743
minus010,42,K-local,0.02,0.03,0.3433629616733828,0.3414789933042174,0.0,-1.609894949678201,0.15519793068987317,-4.162837983711226
minus010,43,K-local,0.03,-0.03,0.3483777758434075,0.31265063793738745,0.0,-1.6137710163716943,0.16034751376447387,-4.157688400636625
minus010,44,K-local,0.03,-0.02,0.3483777758434075,0.3170374626510237,0.0,-1.6109816913549273,0.15664532951534269,-4.161390584885757
minus010,45,K-local,0.03,-0.01,0.3483777758434075,0.32142428736466,0.0,-1.6093004064206757,0.1544146920518023,-4.163621222349296
minus010,46,K-local,0.03,0,0.3483777758434075,0.32581111207829616,0.0,-1.6087388292295812,0.15367118910824637,-4.164364725292852
minus010,47,K-local,0.03,0.01,0.3483777758434075,0.33019793679193243,0.0,-1.609300405189665,0.1544146933806384,-4.163621221020461
minus010,48,K-local,0.03,0.02,0.3483777758434075,0.3345847615055687,0.0,-1.6109816911144814,0.1566453231329425,-4.161390591268156
minus010,49,K-local,0.03,0.03,0.3483777758434075,0.338971586219205,0.0,-1.6137710156537308,0.16034751555611992,-4.157688398844979
minus010,50,Gamma,0,0,0.0,0.0,0.0,-1.6642495993646516,1.1753247146116086,-3.14271119978949
minus010,51,M,0,0,0.5,0.0,0.0,-2.224434276414539,0.7030482438423552,-3.614987670558744
minus010,52,K-prime,0,0,-0.3333333333333333,-0.3333333333333333,-0.0,-1.6007139877609828,0.1427218702594506,-4.175314044141649
minus010,53,Gamma-K1,0.25,0,0.08333333333333333,0.08333333333333333,0.0,-1.845643010919436,0.7777716789110047,-3.540264235490094
minus010,54,Gamma-K1,0.3,0,0.09999999999999999,0.09999999999999999,0.0,-1.9518754872107988,0.6393448309796842,-3.678691083421415
minus010,55,Gamma-K1,0.35,0,0.11666666666666665,0.11666666666666665,0.0,-2.079820756631418,0.5233279833913221,-3.7947079310097767
minus010,56,Gamma-K1,0.4,0,0.13333333333333333,0.13333333333333333,0.0,-2.2121280874499476,0.427215258821028,-3.890820655580071
minus010,57,Gamma-K1,0.44999999999999996,0,0.14999999999999997,0.14999999999999997,0.0,-2.321089645505787,0.35508122818897525,-3.9629546862121234
minus010,58,Gamma-K1,0.5,0,0.16666666666666666,0.16666666666666666,0.0,-2.3798712664274118,0.3202182918093479,-3.997817622591751
minus010,59,Gamma-K1,0.55,0,0.18333333333333335,0.18333333333333335,0.0,-2.383429969310662,0.3359254500492226,-3.9821104643518765
minus010,60,Gamma-K1,0.6,0,0.19999999999999998,0.19999999999999998,0.0,-2.3471589026010458,0.4043927588382671,-3.913643155562832
minus010,61,Gamma-K1,0.6499999999999999,0,0.21666666666666662,0.21666666666666662,0.0,-2.284036735158773,0.5061397624526184,-3.8118961519484804
minus010,62,Gamma-K1,0.7,0,0.2333333333333333,0.2333333333333333,0.0,-2.1974236475712314,0.5884490121917526,-3.729586902209346
minus010,63,Gamma-K1,0.75,0,0.25,0.25,0.0,-2.0881359527747025,0.5903669940707624,-3.7276689203303364
minus010,64,Gamma-K1,0.7999999999999999,0,0.2666666666666666,0.2666666666666666,0.0,-1.96127524927872,0.5122438657587663,-3.8057920486423327
minus010,65,Gamma-K1,0.85,0,0.2833333333333333,0.2833333333333333,0.0,-1.8289750197832204,0.39132992477806083,-3.926705989623038
minus010,66,Gamma-K1,0.8999999999999999,0,0.29999999999999993,0.29999999999999993,0.0,-1.7102534352795442,0.26620721331501435,-4.051828701086085
minus010,67,Gamma-K1,0.95,0,0.31666666666666665,0.31666666666666665,0.0,-1.628143539554039,0.17388494451247508,-4.144150969888623
minus010,68,Gamma-K2,0.25,0,-0.16666666666666666,0.08333333333333333,0.0,-1.8348044335512452,0.812491513230356,-3.505544401170743
minus010,69,Gamma-K2,0.3,0,-0.19999999999999998,0.09999999999999999,0.0,-1.940052743060948,0.6609305621917321,-3.657105352209367
minus010,70,Gamma-K2,0.35,0,-0.2333333333333333,0.11666666666666665,0.0,-2.070502990040584,0.5321036530899206,-3.7859322613111783
minus010,71,Gamma-K2,0.4,0,-0.26666666666666666,0.13333333333333333,0.0,-2.2105932593933866,0.42567656194818415,-3.8923593524529148
minus010,72,Gamma-K2,0.44999999999999996,0,-0.29999999999999993,0.14999999999999997,0.0,-2.333251181147534,0.34755901170152814,-3.9704769026995708
minus010,73,Gamma-K2,0.5,0,-0.3333333333333333,0.16666666666666666,0.0,-2.4081499455602255,0.31072857911436824,-4.007307335286731
minus010,74,Gamma-K2,0.55,0,-0.3666666666666667,0.18333333333333335,0.0,-2.4238182856120027,0.32688255982056313,-3.9911533545805358
minus010,75,Gamma-K2,0.6,0,-0.39999999999999997,0.19999999999999998,0.0,-2.3935558742772485,0.396560961543051,-3.921474952858048
minus010,76,Gamma-K2,0.6499999999999999,0,-0.43333333333333324,0.21666666666666662,0.0,-2.3318854668027433,0.49995505776806515,-3.818080856633034
minus010,77,Gamma-K2,0.7,0,-0.4666666666666666,0.2333333333333333,0.0,-2.2434501574133803,0.589406372288836,-3.728629542112263
minus010,78,Gamma-K2,0.75,0,-0.5,0.25,0.0,-2.129716373347792,0.6070498823620848,-3.7109860320390142
minus010,79,Gamma-K2,0.7999999999999999,0,-0.5333333333333332,0.2666666666666666,0.0,-1.996329448465793,0.5408217653937656,-3.7772141490073334
minus010,80,Gamma-K2,0.85,0,-0.5666666666666667,0.2833333333333333,0.0,-1.8558136622643273,0.4219005211592703,-3.8961353932418286
minus010,81,Gamma-K2,0.8999999999999999,0,-0.5999999999999999,0.29999999999999993,0.0,-1.7275683458356175,0.29039356051853427,-4.027642353882564
minus010,82,Gamma-K2,0.95,0,-0.6333333333333333,0.31666666666666665,0.0,-1.6357003405009005,0.1864774105748587,-4.13155850382624
minus010,83,Gamma-K3,0.25,0,0.08333333333333333,-0.16666666666666666,0.0,-1.8456430132521815,0.7777716732880823,-3.5402642411130167
minus010,84,Gamma-K3,0.3,0,0.09999999999999999,-0.19999999999999998,0.0,-1.9518754900130506,0.6393448280567225,-3.6786910863443762
minus010,85,Gamma-K3,0.35,0,0.11666666666666665,-0.2333333333333333,0.0,-2.079820756656723,0.5233279833436466,-3.7947079310574523
minus010,86,Gamma-K3,0.4,0,0.13333333333333333,-0.26666666666666666,0.0,-2.212128088883306,0.42721525270512684,-3.890820661695972
minus010,87,Gamma-K3,0.44999999999999996,0,0.14999999999999997,-0.29999999999999993,0.0,-2.3210896683351634,0.3550812217223766,-3.9629546926787222
minus010,88,Gamma-K3,0.5,0,0.16666666666666666,-0.3333333333333333,0.0,-2.379871270370465,0.3202182894922562,-3.997817624908843
minus010,89,Gamma-K3,0.55,0,0.18333333333333335,-0.3666666666666667,0.0,-2.383429971071121,0.3359254418670832,-3.982110472534016
minus010,90,Gamma-K3,0.6,0,0.19999999999999998,-0.39999999999999997,0.0,-2.3471589061832474,0.4043927588961552,-3.9136431555049436
minus010,91,Gamma-K3,0.6499999999999999,0,0.21666666666666662,-0.43333333333333324,0.0,-2.2840367363029106,0.5061397690602695,-3.8118961453408295
minus010,92,Gamma-K3,0.7,0,0.2333333333333333,-0.4666666666666666,0.0,-2.197423650501955,0.5884490210393117,-3.729586893361787
minus010,93,Gamma-K3,0.75,0,0.25,-0.5,0.0,-2.088135949728151,0.5903669927553649,-3.727668921645734
minus010,94,Gamma-K3,0.7999999999999999,0,0.2666666666666666,-0.5333333333333332,0.0,-1.961275250752995,0.5122438717078905,-3.8057920426932084
minus010,95,Gamma-K3,0.85,0,0.2833333333333333,-0.5666666666666667,0.0,-1.8289750199911154,0.39132992632842056,-3.9267059880726785
minus010,96,Gamma-K3,0.8999999999999999,0,0.29999999999999993,-0.5999999999999999,0.0,-1.7102534349339307,0.26620721158344385,-4.051828702817655
minus010,97,Gamma-K3,0.95,0,0.31666666666666665,-0.6333333333333333,0.0,-1.6281435377221598,0.17388494286327255,-4.144150971537826
plus005,1,K-local,-0.03,-0.03,0.31806094472462165,0.32780905349678036,0.0,-1.7094407151467574,-0.019992184348128834,-4.2819841600891335
plus005,2,K-local,-0.03,-0.02,0.31806094472462165,0.3321958782104166,0.0,-1.7057296709530898,-0.02440489239078057,-4.286396868131785
plus005,3,K-local,-0.03,-0.01,0.31806094472462165,0.33658270292405285,0.0,-1.7034914478554146,-0.027069487623479025,-4.289061463364484
