cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,16,4,2.7352019487994585,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,16,5,8.14715214751662,1.0,1.0000000000000016,0.0,1.0000000000000016,-1.5543122344752192e-15
primitive,16,6,8.14715219691066,1.0,0.9999999999999986,0.0,0.9999999999999986,1.4432899320127035e-15
primitive,16,7,14.092369391527367,1.0,0.9999999999999929,0.0,0.9999999999999929,7.105427357601002e-15
primitive,16,8,14.09236951345762,1.0,0.9999999999999998,0.0,0.9999999999999998,2.220446049250313e-16
primitive,17,1,-1.4791393318122246,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,17,2,-1.4791393145237604,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,17,3,2.497004677058733,1.0,1.0,0.0,1.0,0.0
primitive,17,4,2.4970046819258775,1.0,0.9999999999999994,0.0,0.9999999999999994,5.551115123125783e-16
primitive,17,5,8.935662081181073,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,17,6,8.935662194461461,1.0,0.9999999999999977,0.0,0.9999999999999977,2.3314683517128287e-15
primitive,17,7,13.005110831007915,1.0,1.000000000000004,0.0,1.000000000000004,-3.9968028886505635e-15
primitive,17,8,13.005111098477139,1.0,0.9999999999999927,0.0,0.9999999999999927,7.327471962526033e-15
primitive,18,1,-1.444073803060603,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,18,2,-1.4440737991910193,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,18,3,2.336346375079474,1.0,0.9999999999999994,0.0,0.9999999999999994,5.551115123125783e-16
primitive,18,4,2.3363463931824002,1.0,0.9999999999999996,0.0,0.9999999999999996,4.440892098500626e-16
primitive,18,5,9.79753070585485,1.0,1.0000000000000018,0.0,1.0000000000000018,-1.7763568394002505e-15
primitive,18,6,9.79753071299494,1.0,0.999999999999998,0.0,0.999999999999998,1.9984014443252818e-15
primitive,18,7,11.965889137653116,1.0,0.9999999999999949,0.0,0.9999999999999949,5.10702591327572e-15
primitive,18,8,11.965889465524407,1.0,0.9999999999999976,0.0,0.9999999999999976,2.4424906541753444e-15
primitive,19,1,-1.4309031046768808,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,19,2,-1.4309030775775742,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,19,3,2.2797830119545868,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,19,4,2.279783025732627,1.0,1.0,0.0,1.0,0.0
primitive,19,5,10.445037960064194,1.0,0.9999999999999849,0.0,0.9999999999999849,1.509903313490213e-14
primitive,19,6,10.445038018738206,1.0,0.9999999999999883,0.0,0.9999999999999883,1.1657341758564144e-14
primitive,19,7,11.25953214703358,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,19,8,11.25953234913195,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,20,1,-1.7976241500828374,1.0,1.000000000000001,0.0,1.000000000000001,-1.1102230246251565e-15
primitive,20,2,-1.0833079652033866,1.0,1.0,0.0,1.0,0.0
primitive,20,3,2.058862538566989,1.0,1.0,0.0,1.0,0.0
primitive,20,4,2.6027426531141598,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,20,5,10.11147868341833,1.0,1.0000000000000573,0.0,1.0000000000000573,-5.728750807065808e-14
primitive,20,6,10.468122939627522,1.0,1.0000000000000033,0.0,1.0000000000000033,-3.3306690738754696e-15
primitive,20,7,11.260607495010623,1.0,0.9999999999999859,0.0,0.9999999999999859,1.4099832412739488e-14
primitive,20,8,11.680410052722754,1.0,0.9999999999999967,0.0,0.9999999999999967,3.3306690738754696e-15
primitive,21,1,-2.1521658338971767,1.0,1.000000000000001,0.0,1.000000000000001,-1.1102230246251565e-15
primitive,21,2,-0.8035914993840327,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,21,3,1.993377769143748,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,21,4,2.9879597978508867,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,21,5,9.788762069875101,1.0,0.9999999999999795,0.0,0.9999999999999795,2.0539125955565396e-14
primitive,21,6,10.141747680201037,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,21,7,11.71972048111278,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,21,8,12.203081218240342,1.0,1.0000000000000013,0.0,1.0000000000000013,-1.3322676295501878e-15
primitive,22,1,-2.4765728608235595,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,22,2,-0.6404640808599701,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,22,3,2.1336173809532446,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,22,4,3.404702079529584,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,22,5,9.533530685069577,1.0,1.0000000000000187,0.0,1.0000000000000187,-1.865174681370263e-14
primitive,22,6,9.788430068567259,1.0,0.9999999999999988,0.0,0.9999999999999988,1.2212453270876722e-15
primitive,22,7,12.309861418743496,1.0,0.999999999999991,0.0,0.999999999999991,8.992806499463768e-15
primitive,22,8,12.769830050096084,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,23,1,-2.7605636086399588,1.0,1.0,0.0,1.0,0.0
primitive,23,2,-0.5992985499718174,1.0,1.0,0.0,1.0,0.0
primitive,23,3,2.48322718936276,1.0,0.9999999999999983,0.0,0.9999999999999983,1.6653345369377348e-15
primitive,23,4,3.824567121498037,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,23,5,9.3632103588685,1.0,0.9999999999999413,0.0,0.9999999999999413,5.873079800267078e-14
primitive,23,6,9.458204157086875,1.0,0.9999999999999969,0.0,0.9999999999999969,3.1086244689504383e-15
primitive,23,7,12.691645479975998,1.0,1.0000000000000029,0.0,1.0000000000000029,-2.886579864025407e-15
primitive,23,8,12.977324176809297,1.0,0.9999999999999949,0.0,0.9999999999999949,5.10702591327572e-15
primitive,24,1,-2.9982278573391534,1.0,1.0000000000000016,0.0,1.0000000000000016,-1.5543122344752192e-15
primitive,24,2,-0.6369372981997666,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,24,3,2.992516789401744,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,24,4,4.21788906330239,1.0,0.999999999999999,0.0,0.999999999999999,9.992007221626409e-16
primitive,24,5,9.14701861503031,1.0,0.9999999999999654,0.0,0.9999999999999654,3.4638958368304884e-14
primitive,24,6,9.28772603675529,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,24,7,11.648064099997045,1.0,1.0000000000000033,0.0,1.0000000000000033,-3.3306690738754696e-15
primitive,24,8,13.699095097210451,1.0,0.9999999999999638,0.0,0.9999999999999638,3.6193270602780103e-14
primitive,25,1,-3.185883636618712,1.0,0.9999999999999984,0.0,0.9999999999999984,1.5543122344752192e-15
primitive,25,2,-0.7043456330681063,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,25,3,3.5970540670751254,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,25,4,4.554457939920302,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,25,5,8.824477746924055,1.0,1.0000000000000069,0.0,1.0000000000000069,-6.8833827526759706e-15
primitive,25,6,9.3071931574613,1.0,0.999999999999999,0.0,0.999999999999999,9.992007221626409e-16
primitive,25,7,10.73321013026687,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,25,8,14.279647762604725,1.0,1.0000000000000229,0.0,1.0000000000000229,-2.2870594307278225e-14
primitive,26,1,-3.3212878791825085,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,26,2,-0.7690889705482287,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,26,3,4.228048135982518,1.0,1.0000000000000024,0.0,1.0000000000000024,-2.4424906541753444e-15
primitive,26,4,4.808519103008869,1.0,1.0000000000000027,0.0,1.0000000000000027,-2.6645352591003757e-15
primitive,26,5,8.436229012101748,1.0,1.0000000000000036,0.0,1.0000000000000036,-3.552713678800501e-15
primitive,26,6,9.40003954655953,1.0,0.9999999999999957,0.0,0.9999999999999957,4.3298697960381105e-15
