ik,primitive_bands,supercell_bands,expected_weight,measured_weight,primitive_mean_eV,supercell_weighted_mean_eV,delta_eV,weight_error
32,6;7,12;13,2,1.9999999999250047,9.73800916936596,9.73800907847045,-9.089550978558236e-08,-7.49953432688244e-11
32,8,16,1,0.9999999995935551,14.015579675855413,14.015579640149637,-3.5705776113559295e-08,-4.0644487775409743e-10
33,1,1,1,0.9999999999890543,-4.727552550138177,-4.727552685963732,-1.3582555524749296e-07,-1.0945688799779418e-11
33,2,4,1,0.9999999998651468,1.538150451302795,1.5381503139534587,-1.3734933634879098e-07,-1.3485323968609464e-10
33,3;4,7;8,2,1.9999999998741393,5.327329658289122,5.327329490804382,-1.6748473985472856e-07,-1.258606552312358e-10
33,5,10,1,0.9999999985000319,8.134951272389621,8.13495114995176,-1.2243786073895535e-07,-1.4999681496874473e-09
33,6;7,12;13,2,1.9999968202484166,9.77169084195883,9.77169070429643,-1.3766239881363163e-07,-3.1797515833709156e-06
33,8,16,1,0.9999999995349889,13.739115575284726,13.73911546853001,-1.0675471706633743e-07,-4.6501114070451877e-10
34,1,1,1,0.9999999999921909,-5.0076392915555,-5.007639425245259,-1.33689758818889e-07,-7.809086710608426e-12
34,2,4,1,0.999999999799985,2.2763800471118034,2.2763799047044304,-1.424073730049713e-07,-2.0001500455890664e-10
34,3;4,7;8,2,1.9999999999622466,5.459777506164951,5.459777337570193,-1.6859475771013877e-07,-3.775335599698337e-11
34,5,10,1,0.9999999949190912,8.278313860717441,8.27831373692828,-1.2378916025568287e-07,-5.080908804799833e-09
34,6;7,11;12,2,1.9999999998243925,9.746242775763278,9.746242672717237,-1.0304604103339443e-07,-1.756075285186398e-10
34,8,16,1,0.9999999989761985,13.14975804420219,13.149757899793414,-1.4440877649235517e-07,-1.023801488031495e-09
35,1,1,1,0.9999999999728054,-5.251210987037722,-5.251211118988975,-1.319512525910227e-07,-2.7194579921285822e-11
35,2,5,1,0.9999999995818698,3.0487372556952557,3.048737108184919,-1.4751033683424453e-07,-4.1813019713288213e-10
35,3;4,7;8,2,1.9999999997838813,5.610371462363272,5.610371292033022,-1.703302494604486e-07,-2.1611867850879207e-10
35,5,10,1,0.9999999962115983,8.437365339505122,8.437365217658527,-1.2184659503589046e-07,-3.788401703452848e-09
35,6;7,11;12,2,1.999999999732729,9.638455932765478,9.63845582493941,-1.07826068074246e-07,-2.6727109414537153e-10
35,8,16,1,0.9999999958737085,12.451210877101126,12.451210709240192,-1.6786093404164149e-07,-4.1262915306816694e-09
36,1,1,1,0.9999999999895841,-5.4540567497054395,-5.4540568804994765,-1.3079403693438962e-07,-1.0415890372428294e-11
36,2,5,1,0.9999999999992079,3.8401923297698537,3.8401921749164534,-1.5485340032483919e-07,-7.921441280700492e-13
36,3;4,7;8,2,1.9999999999792901,5.7728426990039425,5.77284252631205,-1.7269189278579233e-07,-2.0709878256752745e-11
36,5,10,1,0.9999999949142154,8.601514490954404,8.601514370141924,-1.208124800200494e-07,-5.085784571257079e-09
36,6;7,11;12,2,1.9999999988776107,9.454158745968803,9.454158636942491,-1.0902631153442144e-07,-1.1223892926182089e-09
36,8,15,1,0.9999999983400504,11.72242119775759,11.722421023974036,-1.737835546578026e-07,-1.6599496222013954e-09
37,1,1,1,0.9999999999989871,-5.6137590449950725,-5.613759175047514,-1.3005244170471997e-07,-1.0128564653655303e-12
37,2,5,1,0.9999999348986266,4.628887069336596,4.628886908661197,-1.6067539920783247e-07,-6.51013734032091e-08
37,3;4,7;8,2,1.9999999998282334,5.936439692600528,5.936439516830879,-1.7576964950194451e-07,-1.7176660094264662e-10
37,5,10,1,0.9999999931691915,8.752059153383021,8.752059033263427,-1.2011959427127294e-07,-6.830808474411754e-09
37,6;7,11;12,2,1.9999999975919978,9.229609360645224,9.22960925318718,-1.0745804424061589e-07,-2.4080022420491787e-09
37,8,15,1,0.9999999953353181,10.999186950667724,10.999186768996283,-1.8167144055780682e-07,-4.664681862998066e-09
38,1,1,1,0.9999999999780836,-5.728736334585086,-5.728736463863775,-1.2927868908718665e-07,-2.1916357617612903e-11
