segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
0.000000000000000000e+00,2.401374414779529898e-01,4.750000000000000333e-01,0.000000000000000000e+00,4.750000000000000333e-01,2.114429524968010412e+02,2.114429524968013254e+02,3.273199597614576533e+02
0.000000000000000000e+00,2.464568478326359668e-01,4.875000000000000444e-01,0.000000000000000000e+00,4.875000000000000444e-01,2.118942269230418844e+02,2.118942269230421971e+02,3.280537544094255509e+02
0.000000000000000000e+00,2.527762541873189162e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,2.120446672084933084e+02,2.120446672084935642e+02,3.282984390413002416e+02
1.000000000000000000e+00,2.527762541873189162e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,2.120446672084933084e+02,2.120446672084935642e+02,3.282984390413002416e+02
1.000000000000000000e+00,2.559359573646604047e-01,5.000000000000000000e-01,6.250000000000000347e-03,5.062499999999999778e-01,2.120479294158342611e+02,2.121050191663337330e+02,3.282636650147683781e+02
1.000000000000000000e+00,2.590956605420018932e-01,5.000000000000000000e-01,1.250000000000000069e-02,5.124999999999999556e-01,2.120576956252390062e+02,2.122858640618213144e+02,3.281593647188703926e+02
1.000000000000000000e+00,2.622553637193433818e-01,5.000000000000000000e-01,1.875000000000000278e-02,5.187500000000000444e-01,2.120739047322296358e+02,2.125865710136696691e+02,3.279856035663658531e+02
1.000000000000000000e+00,2.654150668966848703e-01,5.000000000000000000e-01,2.500000000000000139e-02,5.250000000000000222e-01,2.120964553395774317e+02,2.130060953478310637e+02,3.277424907839861135e+02
1.000000000000000000e+00,2.685747700740263588e-01,5.000000000000000000e-01,3.125000000000000000e-02,5.312500000000000000e-01,2.121252064191137663e+02,2.135429886239037103e+02,3.274301797203004867e+02
1.000000000000000000e+00,2.717344732513678474e-01,5.000000000000000000e-01,3.750000000000000555e-02,5.374999999999999778e-01,2.121599782312210607e+02,2.141954123478840586e+02,3.270488682760698111e+02
1.000000000000000000e+00,2.748941764287093359e-01,5.000000000000000000e-01,4.375000000000000416e-02,5.437499999999999556e-01,2.122005534950573065e+02,2.149611550634990635e+02,3.265987994564239330e+02
1.000000000000000000e+00,2.780538796060508244e-01,5.000000000000000000e-01,5.000000000000000278e-02,5.500000000000000444e-01,2.122466788007127434e+02,2.158376524486893686e+02,3.260802620440224473e+02
1.000000000000000000e+00,2.812135827833923130e-01,5.000000000000000000e-01,5.625000000000000139e-02,5.562500000000000222e-01,2.122980662527441211e+02,2.168220099928361719e+02,3.254935913921643760e+02
1.000000000000000000e+00,2.843732859607338015e-01,5.000000000000000000e-01,6.250000000000000000e-02,5.625000000000000000e-01,2.123543953328907605e+02,2.179110277952800629e+02,3.248391703366353909e+02
1.000000000000000000e+00,2.875329891380752900e-01,5.000000000000000000e-01,6.875000000000000555e-02,5.687499999999999778e-01,2.124153149682619812e+02,2.191012270069166448e+02,3.241174302248942354e+02
1.000000000000000000e+00,2.906926923154167786e-01,5.000000000000000000e-01,7.500000000000001110e-02,5.749999999999999556e-01,2.124804457899237775e+02,2.203888774336531355e+02,3.233288520610207684e+02
1.000000000000000000e+00,2.938523954927582671e-01,5.000000000000000000e-01,8.125000000000000278e-02,5.812500000000000444e-01,2.125493825655884166e+02,2.217700258320193143e+02,3.224739677646630298e+02
1.000000000000000000e+00,2.970120986700997556e-01,5.000000000000000000e-01,8.750000000000000833e-02,5.875000000000000222e-01,2.126216967890640319e+02,2.232405244513892626e+02,3.215533615420366687e+02
1.000000000000000000e+00,3.001718018474412442e-01,5.000000000000000000e-01,9.375000000000000000e-02,5.937500000000000000e-01,2.126969394082324243e+02,2.247960594118420090e+02,3.205676713668424895e+02
1.000000000000000000e+00,3.033315050247827327e-01,5.000000000000000000e-01,1.000000000000000056e-01,5.999999999999999778e-01,2.127746436726033608e+02,2.264321785491788432e+02,3.195175905687715954e+02
1.000000000000000000e+00,3.064912082021242212e-01,5.000000000000000000e-01,1.062500000000000111e-01,6.062499999999999556e-01,2.128543280809503244e+02,2.281443184065053913e+02,3.184038695270685935e+02
1.000000000000000000e+00,3.096509113794657098e-01,5.000000000000000000e-01,1.125000000000000028e-01,6.125000000000000444e-01,2.129354994091499975e+02,2.299278301026475617e+02,3.172273174664030080e+02
1.000000000000000000e+00,3.128106145568071983e-01,5.000000000000000000e-01,1.187500000000000083e-01,6.187500000000000222e-01,2.130176557981318695e+02,2.317780038593041638e+02,3.159888043520733731e+02
1.000000000000000000e+00,3.159703177341486868e-01,5.000000000000000000e-01,1.250000000000000000e-01,6.250000000000000000e-01,2.131002898817866082e+02,2.336900920193492084e+02,3.146892628813141073e+02
1.000000000000000000e+00,3.191300209114901754e-01,5.000000000000000000e-01,1.312500000000000056e-01,6.312499999999999778e-01,2.131828919347695148e+02,2.356593304365494532e+02,3.133296905671949730e+02
1.000000000000000000e+00,3.222897240888316639e-01,5.000000000000000000e-01,1.375000000000000111e-01,6.374999999999999556e-01,2.132649530203658514e+02,2.376809581609795714e+02,3.119111519112937572e+02
1.000000000000000000e+00,3.254494272661731524e-01,5.000000000000000000e-01,1.437500000000000167e-01,6.437500000000000444e-01,2.133459681189455921e+02,2.397502353838077340e+02,3.104347806609671920e+02
1.000000000000000000e+00,3.286091304435146410e-01,5.000000000000000000e-01,1.500000000000000222e-01,6.500000000000000222e-01,2.134254392180081652e+02,2.418624596394038804e+02,3.089017821466409828e+02
1.000000000000000000e+00,3.317688336208561295e-01,5.000000000000000000e-01,1.562500000000000000e-01,6.562500000000000000e-01,2.135028783454070833e+02,2.440129802917126369e+02,3.073134356940767020e+02
1.000000000000000000e+00,3.349285367981976180e-01,5.000000000000000000e-01,1.625000000000000056e-01,6.624999999999999778e-01,2.135778105280188015e+02,2.461972113555916621e+02,3.056710971060373367e+02
1.000000000000000000e+00,3.380882399755391066e-01,5.000000000000000000e-01,1.687500000000000111e-01,6.687499999999999556e-01,2.136497766588820468e+02,2.484106427225764548e+02,3.039762012071512913e+02
1.000000000000000000e+00,3.412479431528805951e-01,5.000000000000000000e-01,1.750000000000000167e-01,6.750000000000000444e-01,2.137183362566681524e+02,2.506488498746826110e+02,3.022302644450570028e+02
1.000000000000000000e+00,3.444076463302220836e-01,5.000000000000000000e-01,1.812500000000000222e-01,6.812500000000000222e-01,2.137830701022349160e+02,2.529075021798509511e+02,3.004348875400734755e+02
1.000000000000000000e+00,3.475673495075635722e-01,5.000000000000000000e-01,1.875000000000000000e-01,6.875000000000000000e-01,2.138435827379568366e+02,2.551823698690023434e+02,2.985917581746761016e+02
1.000000000000000000e+00,3.507270526849050607e-01,5.000000000000000000e-01,1.937500000000000056e-01,6.937499999999999778e-01,2.138995048165106425e+02,2.574693297979221711e+02,2.967026537129378880e+02
1.000000000000000000e+00,3.538867558622465492e-01,5.000000000000000000e-01,2.000000000000000111e-01,6.999999999999999556e-01,2.139504952868071257e+02,2.597643700978685501e+02,2.947694439388037608e+02
1.000000000000000000e+00,3.570464590395880378e-01,5.000000000000000000e-01,2.062500000000000167e-01,7.062500000000000444e-01,2.139962434057997029e+02,2.620635938173776367e+02,2.927940938005800717e+02
1.000000000000000000e+00,3.602061622169295263e-01,5.000000000000000000e-01,2.125000000000000222e-01,7.125000000000000222e-01,2.140364705659547155e+02,2.643632216546843097e+02,2.907786661473148797e+02
1.000000000000000000e+00,3.633658653942710148e-01,5.000000000000000000e-01,2.187500000000000000e-01,7.187500000000000000e-01,2.140709319292354564e+02,2.666595938758865145e+02,2.887253244407975217e+02
1.000000000000000000e+00,3.665255685716125034e-01,5.000000000000000000e-01,2.250000000000000056e-01,7.249999999999999778e-01,2.140994178595300070e+02,2.689491715088171873e+02,2.866363354246872746e+02
1.000000000000000000e+00,3.696852717489539919e-01,5.000000000000000000e-01,2.312500000000000111e-01,7.312499999999999556e-01,2.141217551465246345e+02,2.712285368968325088e+02,2.845140717297718425e+02
1.000000000000000000e+00,3.728449749262954804e-01,5.000000000000000000e-01,2.375000000000000167e-01,7.375000000000000444e-01,2.141378080151109486e+02,2.734943936906534532e+02,2.823610143915208255e+02
1.000000000000000000e+00,3.760046781036369690e-01,5.000000000000000000e-01,2.437500000000000222e-01,7.437500000000000222e-01,2.141474789154904386e+02,2.757435663501913723e+02,2.801797552529307609e+02
1.000000000000000000e+00,3.791643812809784575e-01,5.000000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,2.141507090902159973e+02,2.779729992221171528e+02,2.779729992221173802e+02
2.000000000000000000e+00,3.791643812809784575e-01,5.000000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,2.141507090902159973e+02,2.779729992221171528e+02,2.779729992221173802e+02
2.000000000000000000e+00,3.836328763674481390e-01,5.000000000000000000e-01,2.562499999999999778e-01,7.437500000000000222e-01,2.139825839850171576e+02,2.778231794482890678e+02,2.781301058364133496e+02
2.000000000000000000e+00,3.881013714539178205e-01,5.000000000000000000e-01,2.625000000000000111e-01,7.375000000000000444e-01,2.134839982394036610e+02,2.773741600222908232e+02,2.785956787376770194e+02
2.000000000000000000e+00,3.925698665403875576e-01,5.000000000000000000e-01,2.687499999999999889e-01,7.312499999999999556e-01,2.126714877986850070e+02,2.766272620464259262e+02,2.793533100529679132e+02
2.000000000000000000e+00,3.970383616268572391e-01,5.000000000000000000e-01,2.750000000000000222e-01,7.249999999999999778e-01,2.115701097682905640e+02,2.755846921064531898e+02,2.803781567499270295e+02
2.000000000000000000e+00,4.015068567133269206e-01,5.000000000000000000e-01,2.812500000000000000e-01,7.187500000000000000e-01,2.102104933061923475e+02,2.742495494965709213e+02,2.816398906547814818e+02
2.000000000000000000e+00,4.059753517997966021e-01,5.000000000000000000e-01,2.874999999999999778e-01,7.125000000000000222e-01,2.086258990050478133e+02,2.726258365394398311e+02,2.831056403080293649e+02
2.000000000000000000e+00,4.104438468862662837e-01,5.000000000000000000e-01,2.937500000000000111e-01,7.062500000000000444e-01,2.068498046346869614e+02,2.707184722081016162e+02,2.847424067497987608e+02
2.000000000000000000e+00,4.149123419727360207e-01,5.000000000000000000e-01,2.999999999999999889e-01,6.999999999999999556e-01,2.049142287091322316e+02,2.685333093179776256e+02,2.865187417218034511e+02
2.000000000000000000e+00,4.193808370592057022e-01,5.000000000000000000e-01,3.062500000000000222e-01,6.937499999999999778e-01,2.028487611574091716e+02,2.660771556194363257e+02,2.884057189456815422e+02
