# ik band kdist_A-1 k1 k2 k3 energy_eV E-Ef_eV occupation charge mx my mz
3 17 0.037483771 0.020408160 0.000000000 0.000000000 -18.994490230 -17.506390230 1.000000000 0.904000000 0.222000000 -0.268000000 0.001000000
3 18 0.037483771 0.020408160 0.000000000 0.000000000 -18.993477320 -17.505377320 1.000000000 0.904000000 -0.221000000 0.267000000 -0.001000000
3 19 0.037483771 0.020408160 0.000000000 0.000000000 -18.303348370 -16.815248370 1.000000000 0.949000000 -0.167000000 0.321000000 0.000000000
3 20 0.037483771 0.020408160 0.000000000 0.000000000 -18.295168350 -16.807068350 1.000000000 0.950000000 0.157000000 -0.302000000 -0.000000000
3 21 0.037483771 0.020408160 0.000000000 0.000000000 -17.930735730 -16.442635730 1.000000000 0.977000000 -0.006000000 0.041000000 0.136000000
3 22 0.037483771 0.020408160 0.000000000 0.000000000 -17.930217770 -16.442117770 1.000000000 0.978000000 0.053000000 -0.119000000 -0.138000000
3 23 0.037483771 0.020408160 0.000000000 0.000000000 -17.910724830 -16.422624830 1.000000000 0.972000000 -0.263000000 0.520000000 0.009000000
3 24 0.037483771 0.020408160 0.000000000 0.000000000 -17.906373770 -16.418273770 1.000000000 0.973000000 0.195000000 -0.406000000 -0.007000000
3 25 0.037483771 0.020408160 0.000000000 0.000000000 -17.815223970 -16.327123970 1.000000000 0.985000000 0.012000000 -0.021000000 0.430000000
3 26 0.037483771 0.020408160 0.000000000 0.000000000 -17.815148760 -16.327048760 1.000000000 0.985000000 0.017000000 -0.033000000 -0.430000000
3 27 0.037483771 0.020408160 0.000000000 0.000000000 -15.524254530 -14.036154530 1.000000000 0.672000000 0.267000000 -0.614000000 -0.052000000
3 28 0.037483771 0.020408160 0.000000000 0.000000000 -15.522926650 -14.034826650 1.000000000 0.672000000 -0.267000000 0.614000000 0.052000000
3 29 0.037483771 0.020408160 0.000000000 0.000000000 -14.544285110 -13.056185110 1.000000000 0.714000000 0.322000000 -0.635000000 -0.035000000
3 30 0.037483771 0.020408160 0.000000000 0.000000000 -14.542149640 -13.054049640 1.000000000 0.714000000 -0.322000000 0.636000000 0.035000000
