ik,band,distance_inv_A,energy_eV,native_weight,pw_weight
12,13,1.067062856448,9.624179934797887,0.0,3.6381720497695296e-11
12,14,1.067062856448,13.930974750345317,0.0,2.7371450851411523e-11
12,15,1.067062856448,15.859689397064681,0.999999,0.9999999996498439
12,16,1.067062856448,15.85968940268962,0.999999,0.999999981915547
12,17,1.067062856448,16.114823088335932,1e-06,1.3650279881815843e-08
12,18,1.067062856448,16.345505564853074,1e-06,4.963464514381749e-09
12,19,1.067062856448,17.535417038758435,1e-06,5.536033622390494e-09
12,20,1.067062856448,17.715646955068674,0.999997,0.9999999945925686
12,21,1.067062856448,17.715646961540344,0.999998,0.9999999641727776
12,22,1.067062856448,17.8187176090242,1e-06,5.615931228306363e-08
12,23,1.067062856448,18.058971541936838,0.999999,0.9999999779010887
12,24,1.067062856448,18.34838740813758,1e-06,2.9410796975040833e-09
13,1,1.164068570671,-3.4304453188479824,0.0,3.6079036457172783e-10
13,2,1.164068570671,-1.6092435715141893,1.0,0.9999999999378109
13,3,1.164068570671,-1.60924354864904,1.0,0.9999999997011433
13,4,1.164068570671,-0.8291419223340396,0.0,5.880643081534641e-13
13,5,1.164068570671,3.3268784495309545,1.0,0.9999999999874286
13,6,1.164068570671,3.3268784492465873,1.0,0.9999999999934146
13,7,1.164068570671,5.016558180514713,0.0,1.1190882960542615e-12
13,8,1.164068570671,5.016558182065877,0.0,2.4114853234643865e-13
13,9,1.164068570671,6.859227308286789,1.0,0.999999998605576
13,10,1.164068570671,6.859227388649512,1.0,0.9999999998585873
13,11,1.164068570671,7.789119270014062,1e-06,1.4029517849387392e-09
13,12,1.164068570671,9.561013469913425,0.0,6.00516860078428e-11
13,13,1.164068570671,9.56101347007615,0.0,9.01088625547844e-11
13,14,1.164068570671,13.823152373084927,0.0,6.098556627985376e-11
13,15,1.164068570671,16.384354546987726,1.0,0.9999999986766593
13,16,1.164068570671,16.38435454635902,1.0,0.9999999979789119
13,17,1.164068570671,16.787073520006725,1e-06,1.0784824566613327e-08
13,18,1.164068570671,16.787073519981174,2e-06,1.0769780725598776e-08
13,19,1.164068570671,17.18323539572788,0.999997,0.9999999805275686
13,20,1.164068570671,17.183235399011615,0.999997,0.9999999968510861
13,21,1.164068570671,17.50119135225618,2e-06,5.749470675396571e-09
13,22,1.164068570671,17.625327123570475,1e-06,1.056043634042766e-09
13,23,1.164068570671,17.625327124544118,1e-06,2.7475738334409957e-10
13,24,1.164068570671,18.822051543054904,0.999999,0.999999998969898
14,1,1.261074284893,-3.4557822592928598,0.0,3.5926770133980062e-12
14,2,1.261074284893,-1.5983851126955873,1.0,0.9999999999966531
14,3,1.261074284893,-1.598385096341459,0.999999,0.999999999999928
14,4,1.261074284893,-0.7521678440614593,0.0,4.729751128285532e-12
14,5,1.261074284893,3.2335633576085776,1.0,0.9999999999826945
14,6,1.261074284893,3.233563359354993,1.0,0.9999999999842428
14,7,1.261074284893,4.814314550112982,0.0,2.0934033622541048e-11
14,8,1.261074284893,5.006952044346086,0.0,1.623182204094476e-11
14,9,1.261074284893,7.029055442749243,1.0,0.9999999999580302
14,10,1.261074284893,7.029055493741474,1.0,0.9999999982387898
14,11,1.261074284893,7.961573960991463,1e-06,1.743925796370238e-09
14,12,1.261074284893,9.554922508962438,0.0,1.043663080792248e-11
14,13,1.261074284893,9.62417993694208,0.0,3.06053446096497e-11
14,14,1.261074284893,13.930974750319004,0.0,4.313625782584224e-11
14,15,1.261074284893,16.067622610733107,0.999999,0.9999997997268912
14,16,1.261074284893,16.06762279811803,0.999999,0.9999993763468589
14,17,1.261074284893,16.114823051819535,2e-06,8.219531653442235e-07
14,18,1.261074284893,16.345505566773888,2e-06,1.7539816039979962e-09
14,19,1.261074284893,16.94827136073702,0.999997,0.9999999991084728
14,20,1.261074284893,16.948271377061932,0.999997,0.9999999960386385
14,21,1.261074284893,17.535417035515835,1e-06,3.877036054842243e-09
14,22,1.261074284893,17.818717608849347,3e-06,1.0858033094116421e-09
14,23,1.261074284893,18.348387407443727,1e-06,1.1472279442535049e-09
14,24,1.261074284893,18.971674459530423,0.999999,0.999999999067343
15,1,1.358079999116,-3.5207203806668836,0.0,9.367273038591287e-14
15,2,1.358079999116,-1.5680218325917887,1.0,0.9999999999999819
15,3,1.358079999116,-1.5680218241327757,0.999999,0.9999999999997866
15,4,1.358079999116,-0.5348242962092249,0.0,1.2999777487265822e-11
15,5,1.358079999116,3.0049683475647853,1.0,0.9999999999341129
15,6,1.358079999116,3.004968347649783,1.0,0.9999999998676208
15,7,1.358079999116,4.329071865059473,0.0,1.9855640697151333e-10
15,8,1.358079999116,4.981170067961951,0.0,3.16204548319604e-11
15,9,1.358079999116,7.488560853214337,1.0,0.9999999997229378
15,10,1.358079999116,7.488560869595469,1.0,0.9999999982972332
15,11,1.358079999116,8.32377360686742,1e-06,1.6194606832166155e-09
15,12,1.358079999116,9.592686376729372,0.0,9.581547597669399e-11
15,13,1.358079999116,9.808651283517294,0.0,2.2205860249684814e-10
15,14,1.358079999116,14.165558818635942,0.0,8.257610400928431e-11
15,15,1.358079999116,15.16648717620735,0.999998,0.9999992334303688
15,16,1.358079999116,15.166487200078974,0.999999,0.9999998643343794
15,17,1.358079999116,15.204751905202212,2e-06,9.013707260745641e-07
15,18,1.358079999116,15.684568220518283,1e-06,1.872857219832234e-09
15,19,1.358079999116,16.832137199911053,0.999998,0.9999999991718087
15,20,1.358079999116,16.832137215210338,0.999998,0.9999999989774653
15,21,1.358079999116,17.410803825358695,1e-06,4.465118863123507e-10
