ik,iband,path_distance_tpiba,kx_tpiba,ky_tpiba,kz_tpiba,energy_eV,Si_s_weight,Si_p_weight,projection_norm
18,4,0.7083333333333333,0.7083333333333333,0.0,0.0,3.8329958272626157,3.9366122998583763e-11,0.9931320504573691,0.9931320504967353
18,5,0.7083333333333333,0.7083333333333333,0.0,0.0,7.032749064483734,0.33661286107521937,0.5854425037078038,0.9220553647830232
18,6,0.7083333333333333,0.7083333333333333,0.0,0.0,8.124771973320152,0.2811054356811377,0.3436983240070697,0.6248037596882074
18,7,0.7083333333333333,0.7083333333333333,0.0,0.0,14.134232013496698,1.1706159102245175e-10,0.7649192443232903,0.7649192444403519
18,8,0.7083333333333333,0.7083333333333333,0.0,0.0,14.134232013603942,2.313763167474923e-10,0.7649183341012913,0.7649183343326676
19,1,0.75,0.75,0.0,0.0,-3.260141743808703,0.6101703704219026,0.38392453371044427,0.9940949041323468
19,2,0.75,0.75,0.0,0.0,0.6227705027453563,0.5056103664177769,0.48546687125822385,0.9910772376760008
19,3,0.75,0.75,0.0,0.0,3.743727277235529,1.7333186668639622e-10,0.9935024967309151,0.993502496904247
19,4,0.75,0.75,0.0,0.0,3.7437272752672235,1.8645972243762688e-11,0.9935021204882587,0.9935021205069047
19,5,0.75,0.75,0.0,0.0,6.983369525365837,0.34267095747894477,0.5716611798796326,0.9143321373585773
19,6,0.75,0.75,0.0,0.0,7.907191670244387,0.29250923919188887,0.3670280960686767,0.6595373352605656
19,7,0.75,0.75,0.0,0.0,14.52961599927886,2.099822615162354e-11,0.7437926390348285,0.7437926390558267
19,8,0.75,0.75,0.0,0.0,14.52961600048308,6.834362366231973e-11,0.7437964638346785,0.7437964639030221
20,1,0.7916666666666666,0.7916666666666666,0.0,0.0,-2.99218429429175,0.599814417306377,0.39409097328333165,0.9939053905897086
20,2,0.7916666666666666,0.7916666666666666,0.0,0.0,0.25617794410913514,0.515545734775626,0.4760013742090358,0.9915471089846619
20,3,0.7916666666666666,0.7916666666666666,0.0,0.0,3.6678778397458203,5.5542706450604074e-11,0.9937847200382316,0.9937847200937743
20,4,0.7916666666666666,0.7916666666666666,0.0,0.0,3.667877839517694,1.2802412220803782e-11,0.9937844410074765,0.993784441020279
20,5,0.7916666666666666,0.7916666666666666,0.0,0.0,6.951283143559168,0.3468711411837673,0.5583964668470941,0.9052676080308614
20,6,0.7916666666666666,0.7916666666666666,0.0,0.0,7.712294371484636,0.3035403295139534,0.3900703320207327,0.6936106615346861
