kx_tpiba,ky_tpiba,kz_tpiba,kx_inv_A,ky_inv_A,kz_inv_A,band5_eV
0.79,-0.04,-0.02,0.919614170865805,-0.046562742828648356,-0.023281371414324178,7.003843923096736
0.79,-0.04,0.0,0.919614170865805,-0.046562742828648356,0.0,6.994666499622567
0.79,-0.04,0.02,0.919614170865805,-0.046562742828648356,0.023281371414324178,7.003843923096792
0.79,-0.04,0.04,0.919614170865805,-0.046562742828648356,0.046562742828648356,7.031223470535407
0.79,-0.04,0.06,0.919614170865805,-0.046562742828648356,0.06984411424297253,7.076359636263965
0.79,-0.04,0.08,0.919614170865805,-0.046562742828648356,0.09312548565729671,7.138552478086982
0.79,-0.02,-0.08,0.919614170865805,-0.023281371414324178,-0.09312548565729671,7.124872166998706
0.79,-0.02,-0.06,0.919614170865805,-0.023281371414324178,-0.06984411424297253,7.054970625609418
0.79,-0.02,-0.04,0.919614170865805,-0.023281371414324178,-0.046562742828648356,7.003843923096723
0.79,-0.02,-0.02,0.919614170865805,-0.023281371414324178,-0.023281371414324178,6.972653611961349
0.79,-0.02,0.0,0.919614170865805,-0.023281371414324178,0.0,6.9621672582692264
0.79,-0.02,0.02,0.919614170865805,-0.023281371414324178,0.023281371414324178,6.972653611961372
0.79,-0.02,0.04,0.919614170865805,-0.023281371414324178,0.046562742828648356,7.003843923096604
0.79,-0.02,0.06,0.919614170865805,-0.023281371414324178,0.06984411424297253,7.054970625609431
0.79,-0.02,0.08,0.919614170865805,-0.023281371414324178,0.09312548565729671,7.124872166998631
0.79,0.0,-0.08,0.919614170865805,0.0,-0.09312548565729671,7.120464475393673
0.79,0.0,-0.06,0.919614170865805,0.0,-0.06984411424297253,7.0478659418206
0.79,0.0,-0.04,0.919614170865805,0.0,-0.046562742828648356,6.994666499622485
0.79,0.0,-0.02,0.919614170865805,0.0,-0.023281371414324178,6.962167258269153
0.79,0.0,0.0,0.919614170865805,0.0,0.0,6.951232884010732
0.79,0.0,0.02,0.919614170865805,0.0,0.023281371414324178,6.962167258269222
0.79,0.0,0.04,0.919614170865805,0.0,0.046562742828648356,6.99466649962253
0.79,0.0,0.06,0.919614170865805,0.0,0.06984411424297253,7.047865941820591
0.79,0.0,0.08,0.919614170865805,0.0,0.09312548565729671,7.120464475393635
0.79,0.02,-0.08,0.919614170865805,0.023281371414324178,-0.09312548565729671,7.124872166998655
0.79,0.02,-0.06,0.919614170865805,0.023281371414324178,-0.06984411424297253,7.0549706256093465
0.79,0.02,-0.04,0.919614170865805,0.023281371414324178,-0.046562742828648356,7.003843923096727
0.79,0.02,-0.02,0.919614170865805,0.023281371414324178,-0.023281371414324178,6.972653611961349
0.79,0.02,0.0,0.919614170865805,0.023281371414324178,0.0,6.962167258269249
0.79,0.02,0.02,0.919614170865805,0.023281371414324178,0.023281371414324178,6.972653611961377
0.79,0.02,0.04,0.919614170865805,0.023281371414324178,0.046562742828648356,7.003843923096662
0.79,0.02,0.06,0.919614170865805,0.023281371414324178,0.06984411424297253,7.0549706256093465
0.79,0.02,0.08,0.919614170865805,0.023281371414324178,0.09312548565729671,7.124872166998703
0.79,0.04,-0.08,0.919614170865805,0.046562742828648356,-0.09312548565729671,7.138552478087038
0.79,0.04,-0.06,0.919614170865805,0.046562742828648356,-0.06984411424297253,7.076359636263994
0.79,0.04,-0.04,0.919614170865805,0.046562742828648356,-0.046562742828648356,7.031223470535465
0.79,0.04,-0.02,0.919614170865805,0.046562742828648356,-0.023281371414324178,7.003843923096678
0.79,0.04,0.0,0.919614170865805,0.046562742828648356,0.0,6.994666499622454
0.79,0.04,0.02,0.919614170865805,0.046562742828648356,0.023281371414324178,7.0038439230966425
0.79,0.04,0.04,0.919614170865805,0.046562742828648356,0.046562742828648356,7.031223470535489
0.79,0.04,0.06,0.919614170865805,0.046562742828648356,0.06984411424297253,7.076359636264075
0.79,0.04,0.08,0.919614170865805,0.046562742828648356,0.09312548565729671,7.138552478087
0.79,0.06,-0.08,0.919614170865805,0.06984411424297253,-0.09312548565729671,7.162681107222079
0.79,0.06,-0.06,0.919614170865805,0.06984411424297253,-0.06984411424297253,7.112208990611152
0.79,0.06,-0.04,0.919614170865805,0.06984411424297253,-0.046562742828648356,7.076359636264017
0.79,0.06,-0.02,0.919614170865805,0.06984411424297253,-0.023281371414324178,7.054970625609392
0.79,0.06,0.0,0.919614170865805,0.06984411424297253,0.0,7.047865941820641
0.79,0.06,0.02,0.919614170865805,0.06984411424297253,0.023281371414324178,7.054970625609401
0.79,0.06,0.04,0.919614170865805,0.06984411424297253,0.046562742828648356,7.076359636263989
0.79,0.06,0.06,0.919614170865805,0.06984411424297253,0.06984411424297253,7.112208990611127
0.79,0.06,0.08,0.919614170865805,0.06984411424297253,0.09312548565729671,7.162681107222094
0.79,0.08,-0.08,0.919614170865805,0.09312548565729671,-0.09312548565729671,7.198701563201637
0.79,0.08,-0.06,0.919614170865805,0.09312548565729671,-0.06984411424297253,7.162681107222145
0.79,0.08,-0.04,0.919614170865805,0.09312548565729671,-0.046562742828648356,7.13855247808703
0.79,0.08,-0.02,0.919614170865805,0.09312548565729671,-0.023281371414324178,7.124872166998676
0.79,0.08,0.0,0.919614170865805,0.09312548565729671,0.0,7.120464475393632
0.79,0.08,0.02,0.919614170865805,0.09312548565729671,0.023281371414324178,7.124872166998625
0.79,0.08,0.04,0.919614170865805,0.09312548565729671,0.046562742828648356,7.138552478086941
0.79,0.08,0.06,0.919614170865805,0.09312548565729671,0.06984411424297253,7.162681107222027
0.79,0.08,0.08,0.919614170865805,0.09312548565729671,0.09312548565729671,7.198701563201703
0.81,-0.08,-0.08,0.9428955422801292,-0.09312548565729671,-0.09312548565729671,7.180461830839848
0.81,-0.08,-0.06,0.9428955422801292,-0.09312548565729671,-0.06984411424297253,7.147291140605996
0.81,-0.08,-0.04,0.9428955422801292,-0.09312548565729671,-0.046562742828648356,7.125742587123332
0.81,-0.08,-0.02,0.9428955422801292,-0.09312548565729671,-0.023281371414324178,7.113906105852319
0.81,-0.08,0.0,0.9428955422801292,-0.09312548565729671,0.0,7.1101737305456245
0.81,-0.08,0.02,0.9428955422801292,-0.09312548565729671,0.023281371414324178,7.113906105852284
0.81,-0.08,0.04,0.9428955422801292,-0.09312548565729671,0.046562742828648356,7.125742587123281
0.81,-0.08,0.06,0.9428955422801292,-0.09312548565729671,0.06984411424297253,7.147291140606057
0.81,-0.08,0.08,0.9428955422801292,-0.09312548565729671,0.09312548565729671,7.180461830839793
0.81,-0.06,-0.08,0.9428955422801292,-0.06984411424297253,-0.09312548565729671,7.147291140606062
0.81,-0.06,-0.06,0.9428955422801292,-0.06984411424297253,-0.06984411424297253,7.098897514025176
0.81,-0.06,-0.04,0.9428955422801292,-0.06984411424297253,-0.046562742828648356,7.064809295653387
0.81,-0.06,-0.02,0.9428955422801292,-0.06984411424297253,-0.023281371414324178,7.044612533161897
0.81,-0.06,0.0,0.9428955422801292,-0.06984411424297253,0.0,7.037930806824649
0.81,-0.06,0.02,0.9428955422801292,-0.06984411424297253,0.023281371414324178,7.044612533161879
