distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
1.062212600000000062e+00,-2.187631600000000009e+00,-7.381462800000000435e-01,3.523854899999999901e+00,3.523867899999999942e+00,-8.573670843384316953e+00,-7.124185523384316099e+00,-2.862184343384316598e+00,-2.862171343384316557e+00
1.076763399999999926e+00,-2.092072200000000048e+00,-8.472370700000000365e-01,3.514078700000000222e+00,3.514090100000000216e+00,-8.478111443384316104e+00,-7.233276313384316758e+00,-2.871960543384316278e+00,-2.871949143384316283e+00
1.091314300000000070e+00,-1.995005200000000034e+00,-9.559183999999999459e-01,3.505710099999999940e+00,3.505719800000000053e+00,-8.381044443384316978e+00,-7.341957643384316334e+00,-2.880329143384316559e+00,-2.880319443384316447e+00
1.105865099999999934e+00,-1.896474699999999958e+00,-1.064066600000000085e+00,3.498795499999999947e+00,3.498803300000000061e+00,-8.282513943384316235e+00,-7.450105843384316806e+00,-2.887243743384316552e+00,-2.887235943384316439e+00
1.120416000000000079e+00,-1.796534999999999993e+00,-1.171559999999999935e+00,3.493374699999999944e+00,3.493380600000000058e+00,-8.182574243384316048e+00,-7.557599243384316878e+00,-2.892664543384316556e+00,-2.892658643384316441e+00
1.134966900000000001e+00,-1.695250200000000040e+00,-1.278280000000000083e+00,3.489479600000000126e+00,3.489483499999999960e+00,-8.081289443384315874e+00,-7.664319243384316138e+00,-2.896559643384316374e+00,-2.896555743384316539e+00
1.149517700000000087e+00,-1.592694499999999902e+00,-1.384113099999999985e+00,3.487133599999999944e+00,3.487135499999999944e+00,-7.978733743384315957e+00,-7.770152343384316040e+00,-2.898905643384316555e+00,-2.898903743384316556e+00
1.164068600000000009e+00,-1.488951700000000100e+00,-1.488951499999999983e+00,3.486350799999999861e+00,3.486350799999999861e+00,-7.874990943384316822e+00,-7.874990743384316261e+00,-2.899688443384316638e+00,-2.899688443384316638e+00
1.178619400000000095e+00,-1.488735399999999931e+00,-1.488733400000000096e+00,3.484647999999999968e+00,3.484649199999999780e+00,-7.874774643384316875e+00,-7.874772643384316595e+00,-2.901391243384316532e+00,-2.901390043384316719e+00
1.193170300000000017e+00,-1.488086000000000020e+00,-1.488081999999999905e+00,3.479553199999999791e+00,3.479555400000000187e+00,-7.874125243384316519e+00,-7.874121243384315960e+00,-2.906486043384316709e+00,-2.906483843384316312e+00
1.207721100000000103e+00,-1.487004599999999899e+00,-1.486998700000000007e+00,3.471100999999999992e+00,3.471104200000000084e+00,-7.873043843384316176e+00,-7.873037943384316506e+00,-2.914938243384316507e+00,-2.914935043384316415e+00
1.222272000000000025e+00,-1.485493500000000022e+00,-1.485485799999999967e+00,3.459348900000000171e+00,3.459353000000000122e+00,-7.871532743384316078e+00,-7.871525043384316689e+00,-2.926690343384316328e+00,-2.926686243384316377e+00
1.236822899999999947e+00,-1.483555699999999922e+00,-1.483546400000000043e+00,3.444376600000000010e+00,3.444381400000000149e+00,-7.869594943384316643e+00,-7.869585643384316320e+00,-2.941662643384316489e+00,-2.941657843384316351e+00
1.251373700000000033e+00,-1.481195700000000004e+00,-1.481184899999999915e+00,3.426285000000000025e+00,3.426290400000000069e+00,-7.867234943384316281e+00,-7.867224143384316193e+00,-2.959754243384316474e+00,-2.959748843384316430e+00
1.265924599999999955e+00,-1.478418900000000091e+00,-1.478406799999999910e+00,3.405195099999999808e+00,3.405200999999999922e+00,-7.864458143384316813e+00,-7.864446043384316631e+00,-2.980844143384316691e+00,-2.980838243384316577e+00
