q_index,qx,qy,qz,star_weight,sigma_Ry,mode,frequency_THz,frequency_cm1,lambda_mode,gamma_GHz,DOS_EF_states_spin_Ry_cell,EF_eV
4,0.0,0.3535534,0.0,6,0.03,2,4.514767,150.596422,0.1066,5.49,2.643829,8.37839
4,0.0,0.3535534,0.0,6,0.03,3,7.531338,251.218399,0.2299,32.92,2.643829,8.37839
4,0.0,0.3535534,0.0,6,0.035,1,4.514767,150.596422,0.1123,5.79,2.645823,8.376691
4,0.0,0.3535534,0.0,6,0.035,2,4.514767,150.596422,0.1123,5.79,2.645823,8.376691
4,0.0,0.3535534,0.0,6,0.035,3,7.531338,251.218399,0.2289,32.81,2.645823,8.376691
4,0.0,0.3535534,0.0,6,0.04,1,4.514767,150.596422,0.1175,6.06,2.648339,8.374776
4,0.0,0.3535534,0.0,6,0.04,2,4.514767,150.596422,0.1175,6.06,2.648339,8.374776
4,0.0,0.3535534,0.0,6,0.04,3,7.531338,251.218399,0.2292,32.87,2.648339,8.374776
4,0.0,0.3535534,0.0,6,0.045,1,4.514767,150.596422,0.122,6.29,2.650827,8.372817
4,0.0,0.3535534,0.0,6,0.045,2,4.514767,150.596422,0.122,6.29,2.650827,8.372817
4,0.0,0.3535534,0.0,6,0.045,3,7.531338,251.218399,0.2302,33.06,2.650827,8.372817
4,0.0,0.3535534,0.0,6,0.05,1,4.514767,150.596422,0.1258,6.49,2.653067,8.370889
4,0.0,0.3535534,0.0,6,0.05,2,4.514767,150.596422,0.1258,6.49,2.653067,8.370889
4,0.0,0.3535534,0.0,6,0.05,3,7.531338,251.218399,0.2318,33.31,2.653067,8.370889
5,0.5303301,-0.1767767,0.5303301,24,0.005,1,5.585012,186.295932,0.0905,6.79,2.518161,8.37364
5,0.5303301,-0.1767767,0.5303301,24,0.005,2,6.93805,231.428442,0.0974,11.27,2.518161,8.37364
5,0.5303301,-0.1767767,0.5303301,24,0.005,3,9.168476,305.827429,0.2367,47.84,2.518161,8.37364
5,0.5303301,-0.1767767,0.5303301,24,0.01,1,5.585012,186.295932,0.087,6.8,2.624685,8.377216
5,0.5303301,-0.1767767,0.5303301,24,0.01,2,6.93805,231.428442,0.0844,10.19,2.624685,8.377216
5,0.5303301,-0.1767767,0.5303301,24,0.01,3,9.168476,305.827429,0.1684,35.48,2.624685,8.377216
5,0.5303301,-0.1767767,0.5303301,24,0.015,1,5.585012,186.295932,0.0946,7.46,2.647439,8.379158
5,0.5303301,-0.1767767,0.5303301,24,0.015,2,6.93805,231.428442,0.0867,10.55,2.647439,8.379158
5,0.5303301,-0.1767767,0.5303301,24,0.015,3,9.168476,305.827429,0.1745,37.08,2.647439,8.379158
5,0.5303301,-0.1767767,0.5303301,24,0.02,1,5.585012,186.295932,0.0988,7.79,2.646097,8.379914
5,0.5303301,-0.1767767,0.5303301,24,0.02,2,6.93805,231.428442,0.0901,10.96,2.646097,8.379914
5,0.5303301,-0.1767767,0.5303301,24,0.02,3,9.168476,305.827429,0.1902,40.39,2.646097,8.379914
5,0.5303301,-0.1767767,0.5303301,24,0.025,1,5.585012,186.295932,0.0988,7.78,2.643523,8.379582
5,0.5303301,-0.1767767,0.5303301,24,0.025,2,6.93805,231.428442,0.0916,11.13,2.643523,8.379582
5,0.5303301,-0.1767767,0.5303301,24,0.025,3,9.168476,305.827429,0.1987,42.16,2.643523,8.379582
5,0.5303301,-0.1767767,0.5303301,24,0.03,1,5.585012,186.295932,0.0975,7.68,2.643829,8.37839
5,0.5303301,-0.1767767,0.5303301,24,0.03,2,6.93805,231.428442,0.0921,11.19,2.643829,8.37839
5,0.5303301,-0.1767767,0.5303301,24,0.03,3,9.168476,305.827429,0.2018,42.82,2.643829,8.37839
5,0.5303301,-0.1767767,0.5303301,24,0.035,1,5.585012,186.295932,0.0961,7.58,2.645823,8.376691
5,0.5303301,-0.1767767,0.5303301,24,0.035,2,6.93805,231.428442,0.0923,11.23,2.645823,8.376691
5,0.5303301,-0.1767767,0.5303301,24,0.035,3,9.168476,305.827429,0.2026,43.02,2.645823,8.376691
5,0.5303301,-0.1767767,0.5303301,24,0.04,1,5.585012,186.295932,0.095,7.49,2.648339,8.374776
5,0.5303301,-0.1767767,0.5303301,24,0.04,2,6.93805,231.428442,0.0925,11.26,2.648339,8.374776
5,0.5303301,-0.1767767,0.5303301,24,0.04,3,9.168476,305.827429,0.2026,43.07,2.648339,8.374776
5,0.5303301,-0.1767767,0.5303301,24,0.045,1,5.585012,186.295932,0.094,7.42,2.650827,8.372817
5,0.5303301,-0.1767767,0.5303301,24,0.045,2,6.93805,231.428442,0.0927,11.29,2.650827,8.372817
5,0.5303301,-0.1767767,0.5303301,24,0.045,3,9.168476,305.827429,0.2025,43.08,2.650827,8.372817
5,0.5303301,-0.1767767,0.5303301,24,0.05,1,5.585012,186.295932,0.0931,7.36,2.653067,8.370889
5,0.5303301,-0.1767767,0.5303301,24,0.05,2,6.93805,231.428442,0.0929,11.33,2.653067,8.370889
5,0.5303301,-0.1767767,0.5303301,24,0.05,3,9.168476,305.827429,0.2023,43.08,2.653067,8.370889
6,0.3535534,0.0,0.3535534,12,0.005,1,4.969669,165.770321,0.0172,1.02,2.518161,8.37364
6,0.3535534,0.0,0.3535534,12,0.005,2,6.818494,227.44047,0.1739,19.45,2.518161,8.37364
6,0.3535534,0.0,0.3535534,12,0.005,3,8.56337,285.643293,0.3875,68.33,2.518161,8.37364
6,0.3535534,0.0,0.3535534,12,0.01,1,4.969669,165.770321,0.0164,1.01,2.624685,8.377216
6,0.3535534,0.0,0.3535534,12,0.01,2,6.818494,227.44047,0.1063,12.39,2.624685,8.377216
6,0.3535534,0.0,0.3535534,12,0.01,3,8.56337,285.643293,0.3,55.14,2.624685,8.377216
6,0.3535534,0.0,0.3535534,12,0.015,1,4.969669,165.770321,0.0199,1.24,2.647439,8.379158
6,0.3535534,0.0,0.3535534,12,0.015,2,6.818494,227.44047,0.1131,13.29,2.647439,8.379158
6,0.3535534,0.0,0.3535534,12,0.015,3,8.56337,285.643293,0.2607,48.33,2.647439,8.379158
6,0.3535534,0.0,0.3535534,12,0.02,1,4.969669,165.770321,0.0239,1.49,2.646097,8.379914
6,0.3535534,0.0,0.3535534,12,0.02,2,6.818494,227.44047,0.1166,13.7,2.646097,8.379914
6,0.3535534,0.0,0.3535534,12,0.02,3,8.56337,285.643293,0.2378,44.07,2.646097,8.379914
6,0.3535534,0.0,0.3535534,12,0.025,1,4.969669,165.770321,0.027,1.69,2.643523,8.379582
6,0.3535534,0.0,0.3535534,12,0.025,2,6.818494,227.44047,0.1185,13.9,2.643523,8.379582
6,0.3535534,0.0,0.3535534,12,0.025,3,8.56337,285.643293,0.2215,41.01,2.643523,8.379582
6,0.3535534,0.0,0.3535534,12,0.03,1,4.969669,165.770321,0.0292,1.82,2.643829,8.37839
6,0.3535534,0.0,0.3535534,12,0.03,2,6.818494,227.44047,0.12,14.09,2.643829,8.37839
